t,discount_rate1,discount_rate2,premium,pv_premiums1,pv_premiums2
136,0.9992,0.9992,1115.6683466653164,704125.1989623787,706177.0943386169
137,0.9996,0.9994,1115.6683466653164,703290.8469544951,705484.7168220448
138,0.9993,0.9996,1115.6683466653164,702667.0455397075,704650.908838915
139,0.9994,0.9997,1115.6683466653164,701972.5607294799,703746.3644015702
140,0.9997,0.9992,1115.6683466653164,701067.2125465785,703193.2506554292
141,0.9995,0.9991,1115.6683466653164,700301.6950474369,702710.021327959
142,0.9993,0.9991,1115.6683466653164,699675.7997606039,702226.3567023257
143,0.9996,0.9994,1115.6683466653164,698839.6672808509,701531.6073200525
144,0.9993,0.999,1126.8250301319697,698212.747857686,701117.0560294165
145,0.9997,0.9994,1126.8250301319697,697295.1113609623,700410.4772856559
146,0.9996,0.9991,1126.8250301319697,696446.865076861,699913.5744725493
147,0.999,0.9993,1126.8250301319697,696016.0561028318,699276.242812386
148,0.9995,0.9999,1126.8250301319697,695236.8494974485,698219.2397062246
149,0.999,0.9993,1126.8250301319697,694804.8292966132,697580.7211809193
150,0.9995,0.9999,1126.8250301319697,694025.0167748687,696523.5485056379
151,0.9996,0.9997,1126.8250301319697,693175.4619295085,695605.405097035
152,0.9991,0.9995,1126.8250301319697,692672.0417369398,694825.9930634347
153,0.999,0.9996,1126.8250301319697,692237.4541609688,693976.7587367975
154,0.9998,0.9994,1126.8250301319697,691248.8789066181,693265.8932426111
155,0.9994,0.9992,1126.8250301319697,690536.3757019073,692693.2227907117
156,0.9992,0.9993,1138.0932804332895,689961.5198876855,692050.8333439205
157,0.9991,0.9996,1138.0932804332895,689443.9261407789,691189.215749787
158,0.9992,0.9991,1138.0932804332895,688856.9183950616,690672.7279244858
159,0.9992,0.9995,1138.0932804332895,688269.4406671621,689879.574431268
160,0.9997,0.9994,1138.0932804332895,687337.5486513241,689154.974135316
161,0.999,0.9996,1138.0932804332895,686886.3417126033,688292.1977339762
162,0.9995,0.999,1138.0932804332895,686091.2940792096,687841.9463999427
163,0.9999,0.9993,1138.0932804332895,685021.7029690731,687184.8825372856
164,0.9991,0.9993,1138.0932804332895,684499.6593820837,686527.3584077377
165,0.9996,0.9996,1138.0932804332895,683635.0201096942,685663.5305395201
166,0.9997,0.9992,1138.0932804332895,682701.737350466,685073.4960559316
167,0.9994,0.9997,1138.0932804332895,681972.8277666927,684140.6449689888
168,0.9994,0.9996,1149.4742132376223,681243.4805746042,683275.8620333688
169,0.999,0.9993,1149.4742132376223,680774.7811425091,682604.2107676686
170,0.9997,0.9994,1149.4742132376223,679829.2557059833,681863.8548673514
171,0.9991,0.999,1149.4742132376223,679291.1435219153,681395.7764305442
172,0.9993,0.9991,1149.4742132376223,678616.7009993773,680859.0753851532
173,0.9994,0.9992,1149.4742132376223,677873.9511568338,680253.8042152878
174,0.9997,0.9993,1149.4742132376223,676927.5552101592,679580.0360272692
175,0.9995,0.9994,1149.4742132376223,676116.1390664547,678837.8645327513
176,0.9999,0.9998,1149.4742132376223,675034.168270044,677823.9551105357
177,0.9995,0.9997,1149.4742132376223,674221.804959286,676877.5441605463
178,0.9991,0.999,1149.4742132376223,673678.6415234194,676404.4744217304
179,0.999,0.9993,1149.4742132376223,673202.3696798616,675728.0098153636
180,0.9994,0.9999,1160.9689553699984,672456.3692881969,674646.0002021461
181,0.9999,0.9996,1160.9689553699984,671362.5365864856,673754.53306
182,0.9999,0.999,1160.9689553699984,670268.5944905647,673266.8309355656
183,0.999,0.9992,1160.9689553699984,669777.4029381328,672643.9771619252
184,0.9998,0.9991,1160.9689553699984,668750.1840195666,672087.8873051298
185,0.999,0.9998,1160.9689553699984,668257.4725367334,671061.1305758749
186,0.9994,0.9994,1160.9689553699984,667497.0017824329,670302.3430263208
187,0.9993,0.9992,1160.9689553699984,666802.7947834113,669677.1157635617
188,0.9995,0.999,1160.9689553699984,665974.8132346586,669185.332140332
189,0.9992,0.9996,1160.9689553699984,665346.1211762296,668291.6798569047
190,0.9996,0.9999,1160.9689553699984,664450.9325938971,667197.4306445991
191,0.999,0.9995,1160.9689553699984,663953.9175560832,666369.6465124853
192,0.9999,0.9993,1172.5786449236984,662859.2345241656,665674.6498119837
193,0.999,0.9991,1172.5786449236984,662349.004884126,665100.6617626463
194,0.999,0.9997,1172.5786449236984,661838.264503706,664127.3213141167
195,0.9994,0.9998,1172.5786449236984,661062.3232527339,663087.3601412212
196,0.9992,0.999,1172.5786449236984,660418.079071067,662577.3588551526
197,0.9991,0.9998,1172.5786449236984,659839.355846405,661537.0876277544
198,0.999,0.999,1172.5786449236984,659326.103304786,661025.534517348
199,0.9994,0.9996,1172.5786449236984,658548.6538521736,660117.0026734937
200,0.9996,0.9993,1172.5786449236984,657639.1308595936,659406.0082343341
201,0.9997,0.9991,1172.5786449236984,656663.5512800539,658826.3733254032
202,0.9993,0.9993,1172.5786449236984,655950.1377315422,658114.4748128485
203,0.9999,0.9992,1172.5786449236984,654843.0433909575,657467.8704642962
204,0.9991,0.9997,1184.3044313729354,654259.2981143367,656492.2394912197
205,0.9996,0.9999,1184.3044313729354,653336.3282142495,655373.4724070876
206,0.9999,0.9992,1184.3044313729354,652217.2455074273,654712.9383263758
207,0.9994,0.9993,1184.3044313729354,651423.7953532663,653986.4243920774
208,0.9996,0.9992,1184.3044313729354,650499.6907982127,653324.7797845321
209,0.9999,0.9996,1184.3044313729354,649380.3243992797,652401.4359275302
210,0.9998,0.9994,1184.3044313729354,648325.6851049277,651608.0963539697
211,0.9998,0.9992,1184.3044313729354,647270.834840523,650944.5475606453
212,0.9998,0.9992,1184.3044313729354,646215.7735638628,650280.467503275
213,0.9993,0.9994,1184.3044313729354,645483.3074477033,649485.8545846529
214,0.9993,0.9993,1184.3044313729354,644750.3282461027,648755.6791286701
215,0.9997,0.9994,1184.3044313729354,643759.1515601978,647960.1507877699
216,0.9998,0.9999,1196.1474756866646,642703.3878063862,646840.530409438
217,0.9999,0.9997,1196.1474756866646,641571.3974704467,645838.1343740636
218,0.9993,0.9995,1196.1474756866646,640823.8266734314,644964.4691329434
219,0.9994,0.999,1196.1474756866646,640011.6862094705,644412.7343916484
220,0.9991,0.9995,1196.1474756866646,639390.9906253467,643538.3560940088
221,0.9991,0.9998,1196.1474756866646,638769.7359119809,642470.7027588739
222,0.9992,0.9994,1196.1474756866646,638084.0556808389,641659.5510137957
223,0.9992,0.9995,1196.1474756866646,637397.8264663253,640783.7954358269
224,0.9998,0.9993,1196.1474756866646,636328.9447795945,640035.6729311921
225,0.9994,0.999,1196.1474756866646,635514.1057673683,639479.0044599654
226,0.9995,0.999,1196.1474756866646,634635.2759296465,638921.7787630418
227,0.9993,0.9997,1196.1474756866646,633882.8464464723,637917.0063892719
228,0.9994,0.9991,1208.1089504435313,633066.5388941222,637294.4238950909
229,0.9996,0.9994,1208.1089504435313,632111.27445346,636468.1958621647
230,0.9991,0.9998,1208.1089504435313,631471.489843876,635387.16434459
231,0.9995,0.9991,1208.1089504435313,630578.6702285466,634750.330691769
232,0.9996,0.9996,1208.1089504435313,629622.4102421999,633795.7400373403
233,0.9995,0.9999,1208.1089504435313,628728.6656245686,632650.8961765144
234,0.9993,0.9992,1208.1089504435313,627960.12876426,631948.3459027931
235,0.999,0.9994,1208.1089504435313,627379.3992130294,631118.9082973279
236,0.9995,0.9997,1208.1089504435313,626484.5325288502,630099.8292956731
237,0.9993,0.9999,1208.1089504435313,625714.4236749792,628954.6158068102
238,0.9996,0.9997,1208.1089504435313,624756.2172114202,627934.8873225634
239,0.9996,0.9997,1208.1089504435313,623797.6273119013,626914.8528279682
240,0.9994,0.9998,1220.1900399479666,622963.2963392613,625831.9102595765
241,0.9999,0.9993,1220.1900399479666,621805.2868279961,625049.2546979171
242,0.999,0.9998,1220.1900399479666,621206.3030911393,623953.8554290549
243,0.999,0.9994,1220.1900399479666,620606.7197709623,623107.5299070512
244,0.9995,0.9993,1220.1900399479666,619696.3779199743,622322.9659432636
245,0.9995,0.9992,1220.1900399479666,618785.5806703614,621600.0559480741
246,0.9996,0.9993,1220.1900399479666,617812.5156366681,620814.4360133355
247,0.9992,0.9991,1220.1900399479666,617085.9943922339,620152.3831181938
248,0.9994,0.9997,1220.1900399479666,616235.5456796938,619117.9284567828
249,0.9996,0.9999,1220.1900399479666,615261.4602238353,617959.5343702718
250,0.999,0.9997,1220.1900399479666,614655.9261099973,616924.4216568209
251,0.9994,0.9999,1220.1900399479666,613804.018481138,615765.8081976927
252,0.9998,0.9994,1232.3919403474463,612706.3697151331,614914.5668978835
253,0.9991,0.9994,1232.3919403474463,612024.800094871,614050.6053207285
254,0.9992,0.999,1232.3919403474463,611281.4333011644,613431.6450254064
255,0.9992,0.9994,1232.3919403474463,610537.4713378872,612566.7931609555
256,0.999,0.9991,1232.3919403474463,609914.9943919317,611885.0978086358
257,0.9991,0.9999,1232.3919403474463,609230.9102708279,610713.7772460129
258,0.9996,0.9998,1232.3919403474463,608241.815056503,609603.3059668588
259,0.9991,0.9992,1232.3919403474463,607556.2237175013,608858.0004268527
260,0.9995,0.9996,1232.3919403474463,606627.1453498286,607868.7559889008
261,0.9997,0.9997,1232.3919403474463,605576.4263373823,606818.4095714247
262,0.9993,0.9993,1232.3919403474463,604767.3715571248,606010.2247884291
263,0.9997,0.9995,1232.3919403474463,603716.0944451108,605080.3730345989
264,0.9994,0.9999,1244.7158597509208,602845.4097506136,603908.3719314445
265,0.9999,0.9996,1244.7158597509208,601660.8599768605,602904.8179988932
266,0.9993,0.9994,1244.7158597509208,600836.7298279892,602021.3149280993
267,0.9996,0.9997,1244.7158597509208,599831.9467469371,600956.8861341886
268,0.9992,0.9994,1244.7158597509208,599066.4840744458,600072.2136025993
269,0.9991,0.9995,1244.7158597509208,598360.2924779251,599127.0612734852
270,0.9997,0.9998,1244.7158597509208,597294.7650476885,598001.9458028949
271,0.9999,0.999,1244.7158597509208,596109.660153953,597354.5845276717
272,0.9992,0.9991,1244.7158597509208,595341.2172680165,596646.8508336712
273,0.9996,0.9998,1244.7158597509208,594334.2351023066,595521.2392217646
274,0.999,0.9991,1244.7158597509208,593683.2024450008,594811.8540306414
275,0.9997,0.9999,1244.7158597509208,592616.2714666899,593626.5008209726
276,0.9991,0.9994,1257.1630183484301,591904.2694494436,592737.4274176724
277,0.9992,0.9992,1257.1630183484301,591120.0024330416,591953.827461293
278,0.9996,0.9992,1257.1630183484301,590098.8789662797,591169.600123043
279,0.9991,0.9998,1257.1630183484301,589372.1508837267,590030.4431933333
280,0.9998,0.9994,1257.1630183484301,588232.6343922567,589126.7562287222
281,0.9995,0.9999,1257.1630183484301,587269.1059268718,587928.3860489787
282,0.9992,0.9992,1257.1630183484301,586481.127810772,587140.9357792537
283,0.9995,0.9995,1257.1630183484301,585516.7231540006,586176.861191501
284,0.999,0.9991,1257.1630183484301,584844.4045401923,585446.6001132546
285,0.9991,0.9992,1257.1630183484301,584112.9431706975,584657.1628251664
286,0.9997,0.9997,1257.1630183484301,583030.6893591569,583575.0723285165
287,0.9996,0.9992,1257.1630183484301,582006.3288723574,582784.1366194637
288,0.9997,0.9991,1269.7346485319144,580923.442886875,582050.8193385199
289,0.9997,0.9997,1269.7346485319144,579827.6565353037,580955.3713013785
290,0.9996,0.9992,1269.7346485319144,578789.4376618365,580149.756458013
291,0.9991,0.999,1269.7346485319144,578039.9389583672,579459.4812907719
292,0.9995,0.9995,1269.7346485319144,577058.7336766736,578478.9861353076
293,0.9998,0.999,1269.7346485319144,575904.1798641145,577787.038525301
294,0.9992,0.9997,1269.7346485319144,575094.5208322484,576690.3109700602
295,0.9999,0.9994,1269.7346485319144,573882.1744011566,575766.0359430942
296,0.9997,0.9995,1269.7346485319144,572784.2750351352,574783.6931411328
297,0.999,0.999,1269.7346485319144,572086.627013617,574088.04653914
298,0.9994,0.9991,1269.7346485319144,571159.5881179558,573334.3127721031
299,0.9994,0.9994,1269.7346485319144,570231.992665023,572408.0229373337
300,0.9996,0.9993,1282.4319950172337,569189.9339900871,571538.3651444028
301,0.9993,0.9993,1282.4319950172337,568305.3157160712,570655.3919237322
302,0.999,0.9991,1282.4319950172337,567590.4741952491,569885.8572001952
303,0.9999,0.9996,1282.4319950172337,566364.6786680988,568830.9575882133
304,0.9992,0.9995,1282.4319950172337,565534.6744126116,567832.441814103
305,0.9996,0.9995,1282.4319950172337,564478.0336310468,566833.426532352
306,0.9996,0.9994,1282.4319950172337,563420.9700240392,565890.5288546475
307,0.9995,0.9994,1282.4319950172337,562419.7479029734,564947.0650986895
308,0.9997,0.9994,1282.4319950172337,561305.7076202423,564003.034924627
309,0.9999,0.9995,1282.4319950172337,560079.2835535804,563002.1039816006
310,0.999,0.9991,1282.4319950172337,559356.2077663295,562225.6750941682
311,0.9994,0.999,1282.4319950172337,558408.8210639507,561504.7478469979
312,0.9998,0.9993,1295.256314967406,557237.8366362607,560614.7461743028
313,0.9999,0.9998,1295.256314967406,555998.1801393073,559431.3761345623
314,0.9997,0.9996,1295.256314967406,554869.3846397317,558359.4636050368
315,0.999,0.9999,1295.256314967406,554128.2565813457,557119.9192819976
316,0.9993,0.9994,1295.256314967406,553220.2544444895,556158.3579818193
317,0.9994,0.9992,1295.256314967406,552256.3519406865,555307.3475448878
318,0.9995,0.9997,1295.256314967406,551236.7139827104,554178.3447333404
319,0.9996,0.9994,1295.256314967406,550161.5222766536,553215.0174288304
320,0.9999,0.999,1295.256314967406,548921.1580774939,552472.2333472102
321,0.9997,0.9991,1295.256314967406,547790.2388341767,551673.4831670932
322,0.9996,0.9995,1295.256314967406,546713.6679864038,550653.5536289403
323,0.9991,0.9991,1295.256314967406,545909.7304288223,549853.1651626192
324,0.9998,0.9991,1308.20887811708,544723.4187976144,549052.0556977798
325,0.9992,0.9991,1308.20887811708,543850.2901516187,548237.2603539813
326,0.9992,0.9993,1308.20887811708,542976.4624434564,547312.1699948607
327,0.9998,0.9998,1308.20887811708,541776.6088871168,546113.1837534943
328,0.9995,0.9995,1308.20887811708,540738.7693936966,545077.5136321933
329,0.9998,0.9998,1308.20887811708,539538.4682092214,543878.0803701503
330,0.9995,0.9992,1308.20887811708,538499.5090856472,543004.2749119628
331,0.9991,0.9991,1308.20887811708,537675.2078946353,542184.0316623419
332,0.9991,0.9998,1308.20887811708,536850.1641642661,540984.0195881425
333,0.999,0.9994,1308.20887811708,536078.0333194685,539999.8105963833
334,0.9995,0.9999,1308.20887811708,535037.3431129078,538745.4762658929
335,0.9992,0.9991,1308.20887811708,534156.4594023126,537921.3966447561
336,0.9995,0.9993,1321.2909668982509,533114.8079281597,536989.080122725
337,0.9995,0.9996,1321.2909668982509,532059.5467346288,535882.1420126319
338,0.9995,0.9997,1321.2909668982509,531003.7576465539,534721.2674259614
339,0.9993,0.9998,1321.2909668982509,530053.5041325485,533506.6777946221
340,0.9998,0.9997,1321.2909668982509,528837.9807618026,532345.0903548304
341,0.9999,0.999,1321.2909668982509,527569.4467395784,531555.3547426749
342,0.9998,0.9999,1321.2909668982509,526353.4264579718,530287.0924850252
343,0.9999,0.9994,1321.2909668982509,525084.6439554691,529283.3715410517
344,0.9998,0.9996,1321.2909668982509,523868.1266138937,528173.3499141191
345,0.9991,0.9993,1321.2909668982509,523017.55144329445,527221.1137268298
346,0.999,0.9993,1321.2909668982509,522218.4789553515,526268.2105072867
347,0.9996,0.9993,1321.2909668982509,521105.63024054945,525314.6397882403
348,0.9994,0.9994,1334.5038765672334,520096.39711191837,524307.933581491
349,0.999,0.999,1334.5038765672334,519281.1744097609,523496.92663155537
350,0.9992,0.999,1334.5038765672334,518361.3596208904,522685.107862851
351,0.9992,0.9996,1334.5038765672334,517440.808391036,521559.2276773547
352,0.9993,0.9992,1334.5038765672334,516467.83199686656,520641.2367902197
353,0.9992,0.9991,1334.5038765672334,515545.764732085,519774.529990644
354,0.9997,0.9997,1334.5038765672334,514365.5705266757,518595.6047955154
355,0.9999,0.9996,1334.5038765672334,513082.3748875972,517468.08815420984
356,0.9996,0.999,1334.5038765672334,511952.6520718587,516650.23451215477
357,0.9993,0.9996,1334.5038765672334,510975.8312771855,515521.93941135204
358,0.9997,0.9996,1334.5038765672334,509794.26568032237,514393.19281190954
359,0.9993,0.9993,1334.5038765672334,508815.93295682495,513418.081592457
360,0.9994,0.9999,1347.8489153329058,507786.1007407022,512134.79119500925
361,0.9991,0.9996,1347.8489153329058,506894.45683652215,510991.33881520235
362,0.999,0.9993,1347.8489153329058,506052.660581771,510000.49024303956
363,0.9993,0.9997,1347.8489153329058,505058.35251319734,508805.2829125804
364,0.9991,0.9999,1347.8489153329058,504164.2514241462,507508.18481572904
365,0.999,0.999,1347.8489153329058,503319.7222310443,506667.0029032994
366,0.9993,0.9993,1347.8489153329058,502323.4997655473,505673.1251755894
367,0.9995,0.9997,1347.8489153329058,501226.2639822054,504476.6192460303
368,0.9994,0.9997,1347.8489153329058,500178.52218018065,503279.75425697444
369,0.9995,0.9999,1347.8489153329058,499080.21337153343,501982.1035519967
370,0.9996,0.9994,1347.8489153329058,497931.5370710289,500934.8155259794
371,0.999,0.9993,1347.8489153329058,497080.7689246206,499936.92245636595
372,0.999,0.9998,1361.3274044862349,496229.1491584461,498688.8113032937
373,0.9996,0.999,1361.3274044862349,495065.8480931971,497825.30920801545
374,0.9996,0.9994,1361.3274044862349,493902.08152131934,496762.03902694536
375,0.9994,0.9992,1361.3274044862349,492836.45599042735,495797.3495020608
376,0.999,0.9997,1361.3274044862349,491967.09568162274,494584.39741679956
377,0.9992,0.9994,1361.3274044862349,490998.5671308412,493519.18152122607
378,0.9995,0.9998,1361.3274044862349,489882.1808167633,492256.3053778154
379,0.999,0.9991,1361.3274044862349,489009.86327555263,491337.1814366221
380,0.9993,0.9994,1361.3274044862349,487990.12896133936,490270.0160417609
381,0.9998,0.9999,1361.3274044862349,486726.14678621036,488957.5843957142
382,0.9993,0.9999,1361.3274044862349,485704.8127506496,487645.0214933773
383,0.9994,0.9993,1361.3274044862349,484634.2659057068,486624.33112067555
384,0.9992,0.9995,1374.9406785310973,483659.86639433604,485505.75659448653
385,0.9993,0.9992,1374.9406785310973,482622.76164895925,484518.43066048383
386,0.9992,0.9994,1374.9406785310973,481633.12747240614,483433.55011202
387,0.9998,0.9997,1374.9406785310973,480354.25764540414,482203.2704146133
388,0.9993,0.9998,1374.9406785310973,479314.8373530202,480924.51463901
