t,value
306,0.9996
307,0.9995
308,0.9997
309,0.9999
310,0.999
311,0.9994
312,0.9998
313,0.9999
314,0.9997
315,0.999
316,0.9993
317,0.9994
318,0.9995
319,0.9996
320,0.9999
321,0.9997
322,0.9996
323,0.9991
324,0.9998
325,0.9992
326,0.9992
327,0.9998
328,0.9995
329,0.9998
330,0.9995
331,0.9991
332,0.9991
333,0.999
334,0.9995
335,0.9992
336,0.9995
337,0.9995
338,0.9995
339,0.9993
340,0.9998
341,0.9999
342,0.9998
343,0.9999
344,0.9998
345,0.9991
346,0.999
347,0.9996
348,0.9994
349,0.999
350,0.9992
351,0.9992
352,0.9993
353,0.9992
354,0.9997
355,0.9999
356,0.9996
357,0.9993
358,0.9997
359,0.9993
360,0.9994
361,0.9991
362,0.999
363,0.9993
364,0.9991
365,0.999
366,0.9993
367,0.9995
368,0.9994
369,0.9995
370,0.9996
371,0.999
372,0.999
373,0.9996
374,0.9996
375,0.9994
376,0.999
377,0.9992
378,0.9995
379,0.999
380,0.9993
381,0.9998
382,0.9993
383,0.9994
384,0.9992
385,0.9993
386,0.9992
387,0.9998
388,0.9993
389,0.9991
390,0.999
391,0.9994
392,0.9991
393,0.9993
394,0.9992
395,0.9994
396,0.999
397,0.9995
398,0.9995
399,0.9994
400,0.9997
401,0.9993
402,0.9997
403,0.9996
404,0.9999
405,0.9999
406,0.9998
407,0.9994
408,0.9992
409,0.9995
410,0.9992
411,0.9991
412,0.9999
413,0.9994
414,0.9999
415,0.9999
416,0.999
417,0.9996
418,0.9998
419,0.9998
420,0.9996
421,0.9994
422,0.9999
423,0.9994
424,0.9998
425,0.9998
426,0.9992
427,0.999
428,0.9992
429,0.9991
430,0.9995
431,0.9992
432,0.9998
433,0.9998
434,0.9991
435,0.9994
436,0.9999
437,0.999
438,0.9999
439,0.9991
440,0.999
441,0.9993
442,0.9995
443,0.9996
444,0.9995
445,0.9998
446,0.9996
447,0.999
448,0.9992
449,0.9995
450,0.9996
451,0.9992
452,0.9996
453,0.9999
454,0.9999
455,0.9994
456,0.9999
457,0.999
458,0.9995
459,0.9993
460,0.999
461,0.9994
462,0.999
463,0.9998
464,0.9997
465,0.9996
466,0.9991
467,0.9996
468,0.999
469,0.9995
470,0.9998
471,0.9993
472,0.9993
473,0.9993
474,0.9998
475,0.9997
476,0.999
477,0.9996
478,0.9994
479,0.9997
480,0.9995
481,0.9999
482,0.9991
483,0.9993
484,0.9994
485,0.9998
486,0.9991
487,0.9995
488,0.9992
489,0.9999
490,0.9991
491,0.9992
492,0.9995
493,0.9997
494,0.9993
495,0.9993
496,0.9992
497,0.9995
498,0.9997
499,0.9999
500,0.9993
501,0.9991
502,0.9998
503,0.9996
504,0.9998
505,0.9992
506,0.9995
507,0.9991
508,0.9991
509,0.9992
510,0.9991
511,0.999
512,0.9991
513,0.9994
514,0.9996
515,0.9999
516,0.9991
517,0.9995
518,0.9999
519,0.999
520,0.9996
521,0.9999
522,0.9999
523,0.9996
524,0.9992
525,0.9993
526,0.9998
527,0.9994
528,0.9991
529,0.9992
530,0.9991
531,0.9996
532,0.9992
533,0.9994
534,0.9996
535,0.9994
536,0.9996
537,0.9992
538,0.9999
539,0.999
540,0.9996
541,0.9999
542,0.9996
543,0.999
544,0.9997
545,0.9997
546,0.9992
547,0.9998
548,0.999
549,0.9993
550,0.9993
551,0.9993
552,0.9997
553,0.9993
554,0.9991
555,0.9999
556,0.9999
557,0.9995
558,0.9997
559,0.9999
560,0.9992
561,0.9996
562,0.9995
563,0.9996
564,0.9996
565,0.9995
566,0.9992
567,0.999
568,0.9997
569,0.9992
570,0.9992
571,0.9992
572,0.9998
573,0.9994
574,0.9997
575,0.9993
576,0.9996
577,0.9993
578,0.9995
579,0.9997
580,0.9991
581,0.9997
582,0.9997
583,0.9992
584,0.999
585,0.9994
586,0.9997
587,0.9998
588,0.9993
589,0.9991
590,0.9993
591,0.9991
592,0.999
593,0.9996
594,0.9991
595,0.9994
596,0.9993
597,0.9998
598,0.9992
599,0.9996
600,0.9997
601,0.9994
602,0.9999
603,0.9993
604,0.9996
605,0.9995
606,0.9993
607,0.9995
608,0.9998
609,0.9997
610,0.9995
611,0.9999
612,0.9996
613,0.9991
614,0.9998
615,0.9996
616,0.9997
617,0.9997
618,0.9998
619,0.999
620,0.9992
621,0.9996
622,0.999
623,0.9996
624,0.9994
625,0.999
626,0.9992
627,0.9994
628,0.9995
629,0.9997
630,0.9992
631,0.9991
632,0.999
633,0.9991
634,0.999
635,0.9993
636,0.9997
637,0.9998
638,0.9996
639,0.9996
640,0.9999
641,0.9997
642,0.9993
643,0.9991
644,0.9996
645,0.9996
646,0.9995
647,0.9998
648,0.9997
649,0.9993
650,0.9998
651,0.9999
652,0.9999
653,0.9996
654,0.9997
655,0.9993
656,0.9994
657,0.9992
658,0.9994
659,0.9999
660,0.9994
661,0.9995
662,0.9993
663,0.9992
664,0.9995
665,0.9999
666,0.9999
667,0.9996
668,0.9994
669,0.9996
670,0.9992
671,0.9998
672,0.9995
673,0.9994
674,0.9996
675,0.9994
676,0.9996
677,0.999
678,0.9997
679,0.999
680,0.9996
681,0.9991
682,0.9991
683,0.9995
684,0.9996
685,0.9993
686,0.9998
687,0.9998
688,0.9993
689,0.9992
690,0.9995
691,0.9998
692,0.9996
693,0.9997
694,0.9996
695,0.9994
696,0.9995
697,0.9993
698,0.9992
699,0.9992
700,0.9999
701,0.9993
702,0.9998
703,0.9996
704,0.9999
705,0.9993
706,0.9991
707,0.9993
708,0.9999
709,0.9997
710,0.9999
711,0.9997
712,0.9994
713,0.9995
714,0.9991
715,0.9997
716,0.9991
717,0.9992
718,0.9999
719,0.9992
720,0.999
