t,my_independent_variable,interest,principal,balance,c,b,a
68,136.0,-15.796697176403937,1015.7966971764039,-16812.49387358034,1.0,1.0,1.0
69,138.0,-16.81249387358034,1016.8124938735804,-17829.306367453923,1.0,1.0,1.0
70,140.0,-17.829306367453924,1017.8293063674539,-18847.135673821376,1.0,1.0,1.0
71,142.0,-18.847135673821377,1018.8471356738214,-19865.9828094952,1.0,1.0,1.0
72,144.0,-19.8659828094952,1019.8659828094952,-20885.848792304696,1.0,1.0,1.0
73,146.0,-20.885848792304696,1020.8858487923047,-21906.734641097002,1.0,1.0,1.0
74,148.0,-21.906734641097003,1021.906734641097,-22928.641375738098,1.0,1.0,1.0
75,150.0,-22.9286413757381,1022.9286413757382,-23951.570017113838,1.0,1.0,1.0
76,152.0,-23.951570017113838,1023.9515700171138,-24975.521587130952,1.0,1.0,1.0
77,154.0,-24.975521587130952,1024.975521587131,-26000.497108718082,1.0,1.0,1.0
78,156.0,-26.000497108718083,1026.000497108718,-27026.4976058268,1.0,1.0,1.0
79,158.0,-27.0264976058268,1027.0264976058268,-28053.524103432628,1.0,1.0,1.0
80,160.0,-28.05352410343263,1028.0535241034327,-29081.577627536062,1.0,1.0,1.0
81,162.0,-29.081577627536063,1029.081577627536,-30110.6592051636,1.0,1.0,1.0
82,164.0,-30.1106592051636,1030.1106592051635,-31140.76986436876,1.0,1.0,1.0
83,166.0,-31.140769864368764,1031.1407698643688,-32171.91063423313,1.0,1.0,1.0
84,168.0,-32.17191063423313,1032.1719106342332,-33204.082544867364,1.0,1.0,1.0
85,170.0,-33.20408254486736,1033.2040825448673,-34237.28662741223,1.0,1.0,1.0
86,172.0,-34.23728662741223,1034.2372866274122,-35271.52391403964,1.0,1.0,1.0
87,174.0,-35.27152391403964,1035.2715239140396,-36306.795437953675,1.0,1.0,1.0
88,176.0,-36.306795437953674,1036.3067954379537,-37343.102233391626,1.0,1.0,1.0
89,178.0,-37.343102233391626,1037.3431022333916,-38380.445335625016,1.0,1.0,1.0
90,180.0,-38.38044533562502,1038.380445335625,-39418.825780960644,1.0,1.0,1.0
91,182.0,-39.418825780960645,1039.4188257809606,-40458.2446067416,1.0,1.0,1.0
92,184.0,-40.4582446067416,1040.4582446067416,-41498.702851348346,1.0,1.0,1.0
93,186.0,-41.49870285134835,1041.4987028513483,-42540.201554199695,1.0,1.0,1.0
94,188.0,-42.5402015541997,1042.5402015541997,-43582.741755753894,1.0,1.0,1.0
95,190.0,-43.582741755753894,1043.582741755754,-44626.324497509646,1.0,1.0,1.0
96,192.0,-44.62632449750965,1044.6263244975096,-45670.95082200716,1.0,1.0,1.0
97,194.0,-45.67095082200716,1045.6709508220072,-46716.62177282917,1.0,1.0,1.0
98,196.0,-46.716621772829164,1046.716621772829,-47763.338394602,1.0,1.0,1.0
99,198.0,-47.763338394601995,1047.763338394602,-48811.1017329966,1.0,1.0,1.0
100,200.0,-48.8111017329966,1048.8111017329966,-49859.91283472959,1.0,1.0,1.0
101,202.0,-49.85991283472959,1049.8599128347296,-50909.77274756432,1.0,1.0,1.0
102,204.0,-50.90977274756432,1050.9097727475644,-51960.682520311886,1.0,1.0,1.0
103,206.0,-51.960682520311885,1051.9606825203118,-53012.6432028322,1.0,1.0,1.0
104,208.0,-53.0126432028322,1053.0126432028321,-54065.655846035035,1.0,1.0,1.0
105,210.0,-54.065655846035035,1054.065655846035,-55119.72150188107,1.0,1.0,1.0
106,212.0,-55.11972150188107,1055.119721501881,-56174.84122338295,1.0,1.0,1.0
107,214.0,-56.174841223382955,1056.174841223383,-57231.01606460634,1.0,1.0,1.0
108,216.0,-57.23101606460634,1057.2310160646064,-58288.247080670946,1.0,1.0,1.0
109,218.0,-58.28824708067095,1058.288247080671,-59346.53532775162,1.0,1.0,1.0
110,220.0,-59.34653532775162,1059.3465353277516,-60405.88186307937,1.0,1.0,1.0
111,222.0,-60.40588186307937,1060.4058818630795,-61466.28774494245,1.0,1.0,1.0
112,224.0,-61.46628774494245,1061.4662877449425,-62527.75403268739,1.0,1.0,1.0
113,226.0,-62.5277540326874,1062.5277540326874,-63590.28178672008,1.0,1.0,1.0
114,228.0,-63.590281786720084,1063.59028178672,-64653.8720685068,1.0,1.0,1.0
115,230.0,-64.6538720685068,1064.6538720685069,-65718.5259405753,1.0,1.0,1.0
116,232.0,-65.7185259405753,1065.7185259405753,-66784.24446651588,1.0,1.0,1.0
117,234.0,-66.78424446651589,1066.784244466516,-67851.0287109824,1.0,1.0,1.0
118,236.0,-67.8510287109824,1067.8510287109825,-68918.87973969338,1.0,1.0,1.0
119,238.0,-68.91887973969338,1068.9188797396935,-69987.79861943307,1.0,1.0,1.0
120,240.0,-69.98779861943308,1069.987798619433,-71057.7864180525,1.0,1.0,1.0
121,242.0,-71.0577864180525,1071.0577864180525,-72128.84420447056,1.0,1.0,1.0
122,244.0,-72.12884420447055,1072.1288442044706,-73200.97304867503,1.0,1.0,1.0
123,246.0,-73.20097304867504,1073.200973048675,-74274.17402172371,1.0,1.0,1.0
124,248.0,-74.27417402172371,1074.2741740217236,-75348.44819574543,1.0,1.0,1.0
125,250.0,-75.34844819574543,1075.3484481957455,-76423.79664394117,1.0,1.0,1.0
126,252.0,-76.42379664394117,1076.4237966439412,-77500.22044058511,1.0,1.0,1.0
127,254.0,-77.50022044058511,1077.500220440585,-78577.7206610257,1.0,1.0,1.0
128,256.0,-78.5777206610257,1078.5777206610258,-79656.29838168672,1.0,1.0,1.0
129,258.0,-79.65629838168672,1079.6562983816866,-80735.9546800684,1.0,1.0,1.0
130,260.0,-80.7359546800684,1080.7359546800685,-81816.69063474848,1.0,1.0,1.0
131,262.0,-81.81669063474848,1081.8166906347485,-82898.50732538322,1.0,1.0,1.0
132,264.0,-82.89850732538322,1082.8985073253832,-83981.40583270861,1.0,1.0,1.0
133,266.0,-83.98140583270862,1083.9814058327086,-85065.38723854131,1.0,1.0,1.0
134,268.0,-85.06538723854132,1085.0653872385412,-86150.45262577986,1.0,1.0,1.0
135,270.0,-86.15045262577986,1086.15045262578,-87236.60307840563,1.0,1.0,1.0
136,272.0,-87.23660307840564,1087.2366030784056,-88323.83968148404,1.0,1.0,1.0
137,274.0,-88.32383968148405,1088.323839681484,-89412.16352116552,1.0,1.0,1.0
138,276.0,-89.41216352116552,1089.4121635211654,-90501.57568468669,1.0,1.0,1.0
139,278.0,-90.50157568468669,1090.5015756846867,-91592.07726037137,1.0,1.0,1.0
140,280.0,-91.59207726037137,1091.5920772603713,-92683.66933763174,1.0,1.0,1.0
141,282.0,-92.68366933763174,1092.6836693376317,-93776.35300696938,1.0,1.0,1.0
142,284.0,-93.77635300696939,1093.7763530069694,-94870.12935997634,1.0,1.0,1.0
143,286.0,-94.87012935997635,1094.8701293599763,-95964.99948933632,1.0,1.0,1.0
144,288.0,-95.96499948933632,1095.9649994893364,-97060.96448882566,1.0,1.0,1.0
145,290.0,-97.06096448882566,1097.0609644888257,-98158.02545331449,1.0,1.0,1.0
146,292.0,-98.1580254533145,1098.1580254533144,-99256.18347876781,1.0,1.0,1.0
147,294.0,-99.25618347876781,1099.2561834787678,-100355.43966224657,1.0,1.0,1.0
148,296.0,-100.35543966224657,1100.3554396622467,-101455.79510190882,1.0,1.0,1.0
149,298.0,-101.45579510190882,1101.4557951019087,-102557.25089701073,1.0,1.0,1.0
150,300.0,-102.55725089701073,1102.5572508970108,-103659.80814790774,1.0,1.0,1.0
151,302.0,-103.65980814790774,1103.6598081479078,-104763.46795605564,1.0,1.0,1.0
152,304.0,-104.76346795605563,1104.7634679560556,-105868.2314240117,1.0,1.0,1.0
153,306.0,-105.8682314240117,1105.8682314240118,-106974.09965543571,1.0,1.0,1.0
154,308.0,-106.97409965543571,1106.9740996554358,-108081.07375509114,1.0,1.0,1.0
155,310.0,-108.08107375509114,1108.0810737550912,-109189.15482884624,1.0,1.0,1.0
156,312.0,-109.18915482884624,1109.1891548288463,-110298.34398367508,1.0,1.0,1.0
157,314.0,-110.29834398367508,1110.298343983675,-111408.64232765874,1.0,1.0,1.0
158,316.0,-111.40864232765875,1111.4086423276588,-112520.0509699864,1.0,1.0,1.0
159,318.0,-112.52005096998641,1112.5200509699864,-113632.5710209564,1.0,1.0,1.0
160,320.0,-113.6325710209564,1113.6325710209564,-114746.20359197735,1.0,1.0,1.0
161,322.0,-114.74620359197735,1114.7462035919773,-115860.94979556932,1.0,1.0,1.0
162,324.0,-115.86094979556933,1115.8609497955692,-116976.81074536488,1.0,1.0,1.0
163,326.0,-116.97681074536489,1116.976810745365,-118093.78755611026,1.0,1.0,1.0
164,328.0,-118.09378755611026,1118.0937875561103,-119211.88134366636,1.0,1.0,1.0
165,330.0,-119.21188134366636,1119.2118813436664,-120331.09322501003,1.0,1.0,1.0
166,332.0,-120.33109322501004,1120.3310932250101,-121451.42431823505,1.0,1.0,1.0
167,334.0,-121.45142431823506,1121.451424318235,-122572.87574255328,1.0,1.0,1.0
168,336.0,-122.57287574255328,1122.5728757425534,-123695.44861829584,1.0,1.0,1.0
169,338.0,-123.69544861829584,1123.6954486182958,-124819.14406691413,1.0,1.0,1.0
170,340.0,-124.81914406691413,1124.819144066914,-125943.96321098105,1.0,1.0,1.0
171,342.0,-125.94396321098105,1125.943963210981,-127069.90717419203,1.0,1.0,1.0
172,344.0,-127.06990717419204,1127.069907174192,-128196.97708136623,1.0,1.0,1.0
173,346.0,-128.19697708136624,1128.1969770813662,-129325.17405844759,1.0,1.0,1.0
174,348.0,-129.3251740584476,1129.3251740584476,-130454.49923250604,1.0,1.0,1.0
175,350.0,-130.45449923250604,1130.4544992325061,-131584.95373173855,1.0,1.0,1.0
176,352.0,-131.58495373173855,1131.5849537317386,-132716.5386854703,1.0,1.0,1.0
177,354.0,-132.7165386854703,1132.7165386854704,-133849.25522415576,1.0,1.0,1.0
178,356.0,-133.84925522415577,1133.8492552241557,-134983.10447937992,1.0,1.0,1.0
179,358.0,-134.98310447937993,1134.98310447938,-136118.0875838593,1.0,1.0,1.0
180,360.0,-136.1180875838593,1136.1180875838593,-137254.20567144317,1.0,1.0,1.0
181,362.0,-137.25420567144317,1137.2542056714433,-138391.4598771146,1.0,1.0,1.0
182,364.0,-138.3914598771146,1138.3914598771146,-139529.8513369917,1.0,1.0,1.0
183,366.0,-139.5298513369917,1139.5298513369917,-140669.3811883287,1.0,1.0,1.0
184,368.0,-140.6693811883287,1140.6693811883288,-141810.050569517,1.0,1.0,1.0
185,370.0,-141.81005056951702,1141.810050569517,-142951.86062008652,1.0,1.0,1.0
186,372.0,-142.95186062008653,1142.9518606200866,-144094.8124807066,1.0,1.0,1.0
187,374.0,-144.09481248070662,1144.0948124807067,-145238.9072931873,1.0,1.0,1.0
188,376.0,-145.2389072931873,1145.2389072931874,-146384.1462004805,1.0,1.0,1.0
189,378.0,-146.3841462004805,1146.3841462004805,-147530.530346681,1.0,1.0,1.0
190,380.0,-147.530530346681,1147.530530346681,-148678.06087702766,1.0,1.0,1.0
191,382.0,-148.67806087702766,1148.6780608770277,-149826.73893790468,1.0,1.0,1.0
192,384.0,-149.82673893790468,1149.8267389379048,-150976.56567684258,1.0,1.0,1.0
193,386.0,-150.9765656768426,1150.9765656768427,-152127.5422425194,1.0,1.0,1.0
194,388.0,-152.1275422425194,1152.1275422425194,-153279.66978476194,1.0,1.0,1.0
195,390.0,-153.27966978476195,1153.279669784762,-154432.9494545467,1.0,1.0,1.0
196,392.0,-154.4329494545467,1154.4329494545468,-155587.38240400126,1.0,1.0,1.0
197,394.0,-155.58738240400126,1155.5873824040013,-156742.96978640524,1.0,1.0,1.0
198,396.0,-156.74296978640524,1156.7429697864052,-157899.71275619164,1.0,1.0,1.0
199,398.0,-157.89971275619163,1157.8997127561915,-159057.61246894783,1.0,1.0,1.0
200,400.0,-159.05761246894784,1159.0576124689478,-160216.67008141679,1.0,1.0,1.0
201,402.0,-160.2166700814168,1160.2166700814169,-161376.8867514982,1.0,1.0,1.0
202,404.0,-161.3768867514982,1161.3768867514982,-162538.26363824971,1.0,1.0,1.0
203,406.0,-162.53826363824973,1162.5382636382496,-163700.80190188796,1.0,1.0,1.0
204,408.0,-163.70080190188796,1163.7008019018879,-164864.50270378985,1.0,1.0,1.0
205,410.0,-164.86450270378987,1164.8645027037899,-166029.36720649365,1.0,1.0,1.0
206,412.0,-166.02936720649365,1166.0293672064936,-167195.39657370016,1.0,1.0,1.0
207,414.0,-167.19539657370015,1167.1953965737002,-168362.59197027385,1.0,1.0,1.0
208,416.0,-168.36259197027385,1168.3625919702738,-169530.95456224412,1.0,1.0,1.0
209,418.0,-169.53095456224412,1169.530954562244,-170700.48551680637,1.0,1.0,1.0
210,420.0,-170.70048551680637,1170.7004855168063,-171871.18600232317,1.0,1.0,1.0
211,422.0,-171.87118600232318,1171.8711860023232,-173043.0571883255,1.0,1.0,1.0
212,424.0,-173.04305718832552,1173.0430571883255,-174216.10024551384,1.0,1.0,1.0
213,426.0,-174.21610024551384,1174.2161002455139,-175390.31634575935,1.0,1.0,1.0
214,428.0,-175.39031634575935,1175.3903163457594,-176565.7066621051,1.0,1.0,1.0
215,430.0,-176.5657066621051,1176.5657066621052,-177742.2723687672,1.0,1.0,1.0
216,432.0,-177.7422723687672,1177.7422723687673,-178920.014641136,1.0,1.0,1.0
217,434.0,-178.920014641136,1178.920014641136,-180098.93465577712,1.0,1.0,1.0
218,436.0,-180.09893465577713,1180.0989346557772,-181279.0335904329,1.0,1.0,1.0
219,438.0,-181.2790335904329,1181.2790335904328,-182460.31262402333,1.0,1.0,1.0
220,440.0,-182.46031262402332,1182.4603126240233,-183642.77293664735,1.0,1.0,1.0
221,442.0,-183.64277293664736,1183.6427729366474,-184826.415709584,1.0,1.0,1.0
222,444.0,-184.82641570958398,1184.826415709584,-186011.2421252936,1.0,1.0,1.0
223,446.0,-186.0112421252936,1186.0112421252936,-187197.2533674189,1.0,1.0,1.0
224,448.0,-187.19725336741888,1187.1972533674189,-188384.45062078632,1.0,1.0,1.0
225,450.0,-188.3844506207863,1188.3844506207863,-189572.8350714071,1.0,1.0,1.0
226,452.0,-189.57283507140713,1189.572835071407,-190762.40790647853,1.0,1.0,1.0
227,454.0,-190.76240790647853,1190.7624079064785,-191953.170314385,1.0,1.0,1.0
228,456.0,-191.953170314385,1191.953170314385,-193145.12348469938,1.0,1.0,1.0
229,458.0,-193.14512348469938,1193.1451234846993,-194338.26860818407,1.0,1.0,1.0
230,460.0,-194.33826860818408,1194.338268608184,-195532.60687679224,1.0,1.0,1.0
231,462.0,-195.53260687679224,1195.5326068767922,-196728.13948366905,1.0,1.0,1.0
232,464.0,-196.72813948366905,1196.728139483669,-197924.8676231527,1.0,1.0,1.0
233,466.0,-197.92486762315272,1197.9248676231527,-199122.79249077587,1.0,1.0,1.0
234,468.0,-199.12279249077588,1199.122792490776,-200321.91528326666,1.0,1.0,1.0
235,470.0,-200.32191528326666,1200.3219152832667,-201522.23719854993,1.0,1.0,1.0
236,472.0,-201.52223719854993,1201.5222371985499,-202723.75943574848,1.0,1.0,1.0
237,474.0,-202.7237594357485,1202.7237594357484,-203926.48319518424,1.0,1.0,1.0
238,476.0,-203.92648319518423,1203.9264831951841,-205130.40967837942,1.0,1.0,1.0
239,478.0,-205.13040967837944,1205.1304096783795,-206335.5400880578,1.0,1.0,1.0
240,480.0,-206.33554008805783,1206.3355400880578,-207541.87562814588,1.0,1.0,1.0
241,482.0,-207.54187562814587,1207.5418756281458,-208749.41750377402,1.0,1.0,1.0
242,484.0,-208.74941750377403,1208.749417503774,-209958.1669212778,1.0,1.0,1.0
243,486.0,-209.9581669212778,1209.9581669212778,-211168.12508819907,1.0,1.0,1.0
244,488.0,-211.16812508819908,1211.168125088199,-212379.29321328728,1.0,1.0,1.0
245,490.0,-212.3792932132873,1212.3792932132874,-213591.67250650056,1.0,1.0,1.0
246,492.0,-213.59167250650057,1213.5916725065006,-214805.26417900706,1.0,1.0,1.0
247,494.0,-214.80526417900705,1214.805264179007,-216020.06944318608,1.0,1.0,1.0
248,496.0,-216.0200694431861,1216.020069443186,-217236.08951262926,1.0,1.0,1.0
249,498.0,-217.23608951262926,1217.2360895126292,-218453.32560214188,1.0,1.0,1.0
250,500.0,-218.4533256021419,1218.4533256021418,-219671.77892774402,1.0,1.0,1.0
251,502.0,-219.67177892774401,1219.671778927744,-220891.45070667175,1.0,1.0,1.0
252,504.0,-220.89145070667175,1220.8914507066718,-222112.3421573784,1.0,1.0,1.0
253,506.0,-222.1123421573784,1222.1123421573784,-223334.4544995358,1.0,1.0,1.0
254,508.0,-223.33445449953578,1223.3344544995357,-224557.78895403532,1.0,1.0,1.0
255,510.0,-224.55778895403532,1224.5577889540352,-225782.34674298935,1.0,1.0,1.0
256,512.0,-225.78234674298935,1225.7823467429894,-227008.12908973233,1.0,1.0,1.0
257,514.0,-227.00812908973234,1227.0081290897324,-228235.13721882206,1.0,1.0,1.0
258,516.0,-228.23513721882205,1228.235137218822,-229463.37235604087,1.0,1.0,1.0
259,518.0,-229.46337235604088,1229.463372356041,-230692.83572839692,1.0,1.0,1.0
260,520.0,-230.69283572839691,1230.6928357283969,-231923.52856412533,1.0,1.0,1.0
261,522.0,-231.92352856412532,1231.9235285641253,-233155.45209268946,1.0,1.0,1.0
262,524.0,-233.15545209268947,1233.1554520926895,-234388.60754478216,1.0,1.0,1.0
263,526.0,-234.38860754478216,1234.3886075447822,-235622.99615232696,1.0,1.0,1.0
264,528.0,-235.62299615232698,1235.622996152327,-236858.61914847928,1.0,1.0,1.0
265,530.0,-236.85861914847928,1236.8586191484792,-238095.47776762774,1.0,1.0,1.0
266,532.0,-238.09547776762776,1238.0954777676277,-239333.57324539538,1.0,1.0,1.0
267,534.0,-239.3335732453954,1239.3335732453954,-240572.90681864077,1.0,1.0,1.0
268,536.0,-240.57290681864077,1240.5729068186408,-241813.47972545942,1.0,1.0,1.0
269,538.0,-241.81347972545942,1241.8134797254595,-243055.29320518486,1.0,1.0,1.0
270,540.0,-243.05529320518485,1243.0552932051849,-244298.34849839006,1.0,1.0,1.0
271,542.0,-244.29834849839006,1244.2983484983902,-245542.64684688844,1.0,1.0,1.0
272,544.0,-245.54264684688846,1245.5426468468884,-246788.18949373532,1.0,1.0,1.0
273,546.0,-246.78818949373533,1246.7881894937354,-248034.97768322905,1.0,1.0,1.0
274,548.0,-248.03497768322904,1248.034977683229,-249283.01266091227,1.0,1.0,1.0
275,550.0,-249.28301266091228,1249.2830126609124,-250532.2956735732,1.0,1.0,1.0
276,552.0,-250.5322956735732,1250.5322956735731,-251782.82796924675,1.0,1.0,1.0
277,554.0,-251.78282796924674,1251.7828279692467,-253034.61079721598,1.0,1.0,1.0
278,556.0,-253.03461079721598,1253.034610797216,-254287.6454080132,1.0,1.0,1.0
279,558.0,-254.2876454080132,1254.2876454080133,-255541.9330534212,1.0,1.0,1.0
280,560.0,-255.54193305342122,1255.5419330534212,-256797.47498647464,1.0,1.0,1.0
281,562.0,-256.79747498647464,1256.7974749864748,-258054.2724614611,1.0,1.0,1.0
282,564.0,-258.0542724614611,1258.054272461461,-259312.32673392256,1.0,1.0,1.0
283,566.0,-259.3123267339226,1259.3123267339226,-260571.63906065648,1.0,1.0,1.0
284,568.0,-260.5716390606565,1260.5716390606565,-261832.21069971714,1.0,1.0,1.0
285,570.0,-261.83221069971717,1261.832210699717,-263094.04291041684,1.0,1.0,1.0
286,572.0,-263.0940429104169,1263.0940429104169,-264357.1369533273,1.0,1.0,1.0
287,574.0,-264.3571369533273,1264.3571369533274,-265621.4940902806,1.0,1.0,1.0
288,576.0,-265.62149409028063,1265.6214940902805,-266887.1155843709,1.0,1.0,1.0
289,578.0,-266.8871155843709,1266.8871155843708,-268154.0026999553,1.0,1.0,1.0
290,580.0,-268.1540026999553,1268.1540026999553,-269422.15670265525,1.0,1.0,1.0
291,582.0,-269.42215670265523,1269.4221567026552,-270691.5788593579,1.0,1.0,1.0
292,584.0,-270.69157885935795,1270.6915788593578,-271962.27043821727,1.0,1.0,1.0
293,586.0,-271.9622704382173,1271.9622704382173,-273234.2327086555,1.0,1.0,1.0
294,588.0,-273.2342327086555,1273.2342327086556,-274507.4669413641,1.0,1.0,1.0
295,590.0,-274.5074669413641,1274.507466941364,-275781.9744083055,1.0,1.0,1.0
296,592.0,-275.7819744083055,1275.7819744083054,-277057.7563827138,1.0,1.0,1.0
297,594.0,-277.0577563827138,1277.0577563827137,-278334.81413909653,1.0,1.0,1.0
298,596.0,-278.3348141390965,1278.3348141390966,-279613.14895323565,1.0,1.0,1.0
299,598.0,-279.6131489532357,1279.6131489532356,-280892.7621021889,1.0,1.0,1.0
300,600.0,-280.8927621021889,1280.892762102189,-282173.6548642911,1.0,1.0,1.0
301,602.0,-282.1736548642911,1282.1736548642912,-283455.8285191554,1.0,1.0,1.0
302,604.0,-283.4558285191554,1283.4558285191554,-284739.2843476745,1.0,1.0,1.0
303,606.0,-284.7392843476745,1284.7392843476746,-286024.0236320222,1.0,1.0,1.0
304,608.0,-286.0240236320222,1286.0240236320221,-287310.0476556542,1.0,1.0,1.0
305,610.0,-287.3100476556542,1287.3100476556542,-288597.35770330986,1.0,1.0,1.0
306,612.0,-288.59735770330985,1288.5973577033099,-289885.95506101317,1.0,1.0,1.0
307,614.0,-289.8859550610132,1289.8859550610132,-291175.8410160742,1.0,1.0,1.0
308,616.0,-291.1758410160742,1291.1758410160742,-292467.01685709023,1.0,1.0,1.0
309,618.0,-292.46701685709024,1292.4670168570901,-293759.48387394735,1.0,1.0,1.0
310,620.0,-293.7594838739474,1293.7594838739474,-295053.2433578213,1.0,1.0,1.0
311,622.0,-295.0532433578213,1295.0532433578214,-296348.2966011791,1.0,1.0,1.0
312,624.0,-296.34829660117913,1296.348296601179,-297644.64489778026,1.0,1.0,1.0
313,626.0,-297.64464489778027,1297.6446448977804,-298942.28954267805,1.0,1.0,1.0
314,628.0,-298.94228954267805,1298.942289542678,-300241.23183222074,1.0,1.0,1.0
