t,b,my_independent_variable,a,interest,principal,balance
89,2120.0,1424.0,2120.0,-298.744817867133,8298.744817867133,-307043.5626850002
90,2144.0,1440.0,2144.0,-307.04356268500015,8307.043562685,-315350.60624768515
91,2168.0,1456.0,2168.0,-315.35060624768516,8315.350606247683,-323665.95685393276
92,2192.0,1472.0,2192.0,-323.6659568539328,8323.665956853933,-331989.62281078676
93,2216.0,1488.0,2216.0,-331.9896228107868,8331.989622810785,-340321.6124335975
94,2240.0,1504.0,2240.0,-340.32161243359764,8340.321612433598,-348661.93404603115
95,2264.0,1520.0,2264.0,-348.66193404603115,8348.661934046031,-357010.5959800771
96,2288.0,1536.0,2288.0,-357.0105959800772,8357.010595980077,-365367.6065760572
97,2312.0,1552.0,2312.0,-365.3676065760573,8365.367606576057,-373732.9741826333
98,2336.0,1568.0,2336.0,-373.7329741826333,8373.732974182632,-382106.707156816
99,2360.0,1584.0,2360.0,-382.10670715681596,8382.106707156816,-390488.8138639727
100,2384.0,1600.0,2384.0,-390.4888138639727,8390.488813863973,-398879.30267783673
101,2408.0,1616.0,2408.0,-398.87930267783673,8398.879302677837,-407278.1819805145
102,2432.0,1632.0,2432.0,-407.27818198051455,8407.278181980515,-415685.46016249515
103,2456.0,1648.0,2456.0,-415.6854601624951,8415.685460162495,-424101.1456226576
104,2480.0,1664.0,2480.0,-424.10114562265755,8424.101145622657,-432525.24676828034
105,2504.0,1680.0,2504.0,-432.5252467682803,8432.52524676828,-440957.7720150486
106,2528.0,1696.0,2528.0,-440.9577720150486,8440.957772015048,-449398.72978706367
107,2552.0,1712.0,2552.0,-449.3987297870636,8449.398729787064,-457848.12851685064
108,2576.0,1728.0,2576.0,-457.8481285168508,8457.848128516851,-466305.9766453676
109,2600.0,1744.0,2600.0,-466.3059766453676,8466.305976645368,-474772.2826220129
110,2624.0,1760.0,2624.0,-474.77228262201294,8474.772282622012,-483247.054904635
111,2648.0,1776.0,2648.0,-483.24705490463487,8483.247054904636,-491730.30195953965
112,2672.0,1792.0,2672.0,-491.73030195953964,8491.73030195954,-500222.03226149915
113,2696.0,1808.0,2696.0,-500.2220322614993,8500.222032261501,-508722.2542937607
114,2720.0,1824.0,2720.0,-508.72225429376067,8508.72225429376,-517230.9765480543
115,2744.0,1840.0,2744.0,-517.2309765480544,8517.230976548055,-525748.2075246024
116,2768.0,1856.0,2768.0,-525.7482075246024,8525.748207524603,-534273.9557321271
117,2792.0,1872.0,2792.0,-534.2739557321271,8534.273955732127,-542808.2296878592
118,2816.0,1888.0,2816.0,-542.8082296878592,8542.808229687858,-551351.037917547
119,2840.0,1904.0,2840.0,-551.3510379175469,8551.351037917548,-559902.3889554646
120,2864.0,1920.0,2864.0,-559.9023889554646,8559.902388955465,-568462.29134442
121,2888.0,1936.0,2888.0,-568.46229134442,8568.46229134442,-577030.7536357645
122,2912.0,1952.0,2912.0,-577.0307536357644,8577.030753635765,-585607.7843894003
123,2936.0,1968.0,2936.0,-585.6077843894003,8585.6077843894,-594193.3921737896
124,2960.0,1984.0,2960.0,-594.1933921737897,8594.19339217379,-602787.5855659634
125,2984.0,2000.0,2984.0,-602.7875855659635,8602.787585565964,-611390.3731515295
126,3008.0,2016.0,3008.0,-611.3903731515294,8611.39037315153,-620001.7635246809
127,3032.0,2032.0,3032.0,-620.0017635246809,8620.001763524679,-628621.7652882057
128,3056.0,2048.0,3056.0,-628.6217652882056,8628.621765288206,-637250.3870534938
129,3080.0,2064.0,3080.0,-637.2503870534938,8637.250387053493,-645887.6374405472
130,3104.0,2080.0,3104.0,-645.8876374405472,8645.88763744055,-654533.5250779878
131,3128.0,2096.0,3128.0,-654.533525077988,8654.533525077988,-663188.0586030659
132,3152.0,2112.0,3152.0,-663.1880586030658,8663.188058603066,-671851.2466616688
133,3176.0,2128.0,3176.0,-671.8512466616689,8671.851246661668,-680523.0979083305
134,3200.0,2144.0,3200.0,-680.5230979083307,8680.52309790833,-689203.6210062389
135,3224.0,2160.0,3224.0,-689.2036210062389,8689.203621006238,-697892.824627245
136,3248.0,2176.0,3248.0,-697.8928246272452,8697.892824627243,-706590.7174518723
137,3272.0,2192.0,3272.0,-706.5907174518724,8706.590717451872,-715297.3081693241
138,3296.0,2208.0,3296.0,-715.2973081693243,8715.297308169322,-724012.6054774934
139,3320.0,2224.0,3320.0,-724.0126054774936,8724.012605477494,-732736.6180829711
140,3344.0,2240.0,3344.0,-732.7366180829711,8732.73661808297,-741469.354701054
141,3368.0,2256.0,3368.0,-741.4693547010539,8741.469354701054,-750210.824055755
142,3392.0,2272.0,3392.0,-750.2108240557552,8750.210824055755,-758961.0348798109
143,3416.0,2288.0,3416.0,-758.9610348798107,8758.96103487981,-767719.9959146904
144,3440.0,2304.0,3440.0,-767.7199959146906,8767.719995914691,-776487.7159106053
145,3464.0,2320.0,3464.0,-776.4877159106053,8776.487715910605,-785264.203626516
146,3488.0,2336.0,3488.0,-785.264203626516,8785.264203626515,-794049.4678301425
147,3512.0,2352.0,3512.0,-794.0494678301425,8794.049467830142,-802843.5172979727
148,3536.0,2368.0,3536.0,-802.8435172979725,8802.843517297973,-811646.3608152707
149,3560.0,2384.0,3560.0,-811.6463608152707,8811.64636081527,-820458.0071760858
150,3584.0,2400.0,3584.0,-820.4580071760857,8820.458007176087,-829278.4651832619
151,3608.0,2416.0,3608.0,-829.2784651832618,8829.278465183263,-838107.7436484451
152,3632.0,2432.0,3632.0,-838.107743648445,8838.107743648447,-846945.8513920938
153,3656.0,2448.0,3656.0,-846.9458513920936,8846.945851392096,-855792.7972434855
154,3680.0,2464.0,3680.0,-855.7927972434856,8855.792797243486,-864648.5900407293
155,3704.0,2480.0,3704.0,-864.648590040729,8864.64859004073,-873513.2386307699
156,3728.0,2496.0,3728.0,-873.5132386307698,8873.513238630769,-882386.7518694007
157,3752.0,2512.0,3752.0,-882.3867518694007,8882.3867518694,-891269.1386212698
158,3776.0,2528.0,3776.0,-891.26913862127,8891.26913862127,-900160.4077598911
159,3800.0,2544.0,3800.0,-900.1604077598913,8900.160407759891,-909060.5681676512
160,3824.0,2560.0,3824.0,-909.0605681676514,8909.060568167652,-917969.6287358188
161,3848.0,2576.0,3848.0,-917.9696287358186,8917.969628735818,-926887.5983645545
162,3872.0,2592.0,3872.0,-926.8875983645547,8926.887598364554,-935814.4859629191
163,3896.0,2608.0,3896.0,-935.8144859629191,8935.81448596292,-944750.3004488822
164,3920.0,2624.0,3920.0,-944.750300448882,8944.750300448883,-953695.0507493309
165,3944.0,2640.0,3944.0,-953.695050749331,8953.695050749331,-962648.74580008
166,3968.0,2656.0,3968.0,-962.6487458000803,8962.64874580008,-971611.3945458803
167,3992.0,2672.0,3992.0,-971.6113945458803,8971.61139454588,-980583.0059404263
168,4016.0,2688.0,4016.0,-980.5830059404262,8980.583005940427,-989563.5889463667
169,4040.0,2704.0,4040.0,-989.5635889463666,8989.563588946367,-998553.1525353129
170,4064.0,2720.0,4064.0,-998.5531525353128,8998.553152535313,-1007551.7056878486
171,4088.0,2736.0,4088.0,-1007.5517056878487,9007.551705687847,-1016559.2573935363
172,4112.0,2752.0,4112.0,-1016.5592573935363,9016.559257393536,-1025575.8166509299
173,4136.0,2768.0,4136.0,-1025.5758166509297,9025.575816650931,-1034601.3924675807
174,4160.0,2784.0,4160.0,-1034.6013924675808,9034.60139246758,-1043635.9938600484
175,4184.0,2800.0,4184.0,-1043.6359938600483,9043.635993860049,-1052679.6298539082
176,4208.0,2816.0,4208.0,-1052.6796298539084,9052.67962985391,-1061732.3094837626
177,4232.0,2832.0,4232.0,-1061.7323094837627,9061.732309483763,-1070794.041793246
178,4256.0,2848.0,4256.0,-1070.7940417932462,9070.794041793246,-1079864.8358350394
179,4280.0,2864.0,4280.0,-1079.8648358350395,9079.86483583504,-1088944.7006708744
180,4304.0,2880.0,4304.0,-1088.9447006708745,9088.944700670874,-1098033.6453715453
181,4328.0,2896.0,4328.0,-1098.0336453715454,9098.033645371544,-1107131.6790169168
182,4352.0,2912.0,4352.0,-1107.131679016917,9107.131679016917,-1116238.8106959334
183,4376.0,2928.0,4376.0,-1116.2388106959336,9116.238810695933,-1125355.0495066296
184,4400.0,2944.0,4400.0,-1125.35504950663,9125.35504950663,-1134480.4045561363
185,4424.0,2960.0,4424.0,-1134.4804045561361,9134.480404556134,-1143614.8849606921
186,4448.0,2976.0,4448.0,-1143.6148849606923,9143.614884960693,-1152758.4998456528
187,4472.0,2992.0,4472.0,-1152.758499845653,9152.758499845653,-1161911.2583454985
188,4496.0,3008.0,4496.0,-1161.9112583454987,9161.911258345499,-1171073.169603844
189,4520.0,3024.0,4520.0,-1171.073169603844,9171.073169603844,-1180244.242773448
190,4544.0,3040.0,4544.0,-1180.244242773448,9180.244242773448,-1189424.4870162213
191,4568.0,3056.0,4568.0,-1189.4244870162213,9189.424487016222,-1198613.9115032374
192,4592.0,3072.0,4592.0,-1198.6139115032374,9198.61391150324,-1207812.5254147407
193,4616.0,3088.0,4616.0,-1207.8125254147408,9207.812525414744,-1217020.3379401553
194,4640.0,3104.0,4640.0,-1217.0203379401553,9217.020337940156,-1226237.3582780955
195,4664.0,3120.0,4664.0,-1226.2373582780956,9226.237358278098,-1235463.5956363736
196,4688.0,3136.0,4688.0,-1235.4635956363736,9235.463595636376,-1244699.0592320098
197,4712.0,3152.0,4712.0,-1244.69905923201,9244.699059232009,-1253943.758291242
198,4736.0,3168.0,4736.0,-1253.9437582912417,9253.943758291241,-1263197.7020495331
199,4760.0,3184.0,4760.0,-1263.197702049533,9263.197702049532,-1272460.8997515829
200,4784.0,3200.0,4784.0,-1272.4608997515827,9272.460899751582,-1281733.3606513345
201,4808.0,3216.0,4808.0,-1281.7333606513346,9281.733360651335,-1291015.0940119857
202,4832.0,3232.0,4832.0,-1291.0150940119856,9291.015094011986,-1300306.1091059977
203,4856.0,3248.0,4856.0,-1300.3061091059978,9300.306109105995,-1309606.4152151037
204,4880.0,3264.0,4880.0,-1309.6064152151037,9309.606415215103,-1318916.0216303188
205,4904.0,3280.0,4904.0,-1318.916021630319,9318.916021630319,-1328234.9376519492
206,4928.0,3296.0,4928.0,-1328.234937651949,9328.234937651949,-1337563.1725896013
207,4952.0,3312.0,4952.0,-1337.5631725896012,9337.563172589602,-1346900.7357621908
208,4976.0,3328.0,4976.0,-1346.9007357621906,9346.90073576219,-1356247.636497953
209,5000.0,3344.0,5000.0,-1356.247636497953,9356.247636497952,-1365603.884134451
210,5024.0,3360.0,5024.0,-1365.603884134451,9365.60388413445,-1374969.4880185854
211,5048.0,3376.0,5048.0,-1374.9694880185855,9374.969488018585,-1384344.4575066043
212,5072.0,3392.0,5072.0,-1384.3444575066042,9384.344457506604,-1393728.8019641107
213,5096.0,3408.0,5096.0,-1393.7288019641107,9393.728801964111,-1403122.530766075
214,5120.0,3424.0,5120.0,-1403.122530766075,9403.122530766077,-1412525.653296841
215,5144.0,3440.0,5144.0,-1412.525653296841,9412.525653296841,-1421938.178950138
216,5168.0,3456.0,5168.0,-1421.9381789501376,9421.938178950137,-1431360.1171290877
217,5192.0,3472.0,5192.0,-1431.3601171290882,9431.360117129088,-1440791.4772462172
218,5216.0,3488.0,5216.0,-1440.791477246217,9440.791477246217,-1450232.2687234634
219,5240.0,3504.0,5240.0,-1450.232268723463,9450.232268723463,-1459682.5009921866
220,5264.0,3520.0,5264.0,-1459.6825009921865,9459.682500992187,-1469142.1834931786
221,5288.0,3536.0,5288.0,-1469.142183493179,9469.14218349318,-1478611.325676672
222,5312.0,3552.0,5312.0,-1478.6113256766716,9478.611325676671,-1488089.9370023487
223,5336.0,3568.0,5336.0,-1488.0899370023487,9488.089937002349,-1497578.026939351
224,5360.0,3584.0,5360.0,-1497.578026939351,9497.57802693935,-1507075.6049662905
225,5384.0,3600.0,5384.0,-1507.0756049662905,9507.07560496629,-1516582.6805712567
226,5408.0,3616.0,5408.0,-1516.582680571257,9516.582680571257,-1526099.2632518283
227,5432.0,3632.0,5432.0,-1526.0992632518282,9526.09926325183,-1535625.3625150803
228,5456.0,3648.0,5456.0,-1535.62536251508,9535.62536251508,-1545160.9878775948
229,5480.0,3664.0,5480.0,-1545.1609878775948,9545.160987877594,-1554706.1488654725
230,5504.0,3680.0,5504.0,-1554.7061488654726,9554.706148865473,-1564260.8550143377
231,5528.0,3696.0,5528.0,-1564.260855014338,9564.260855014336,-1573825.1158693524
232,5552.0,3712.0,5552.0,-1573.8251158693527,9573.825115869353,-1583398.9409852216
233,5576.0,3728.0,5576.0,-1583.3989409852218,9583.398940985222,-1592982.3399262072
234,5600.0,3744.0,5600.0,-1592.9823399262073,9592.982339926208,-1602575.3222661333
235,5624.0,3760.0,5624.0,-1602.5753222661333,9602.575322266131,-1612177.8975883997
236,5648.0,3776.0,5648.0,-1612.1778975883992,9612.177897588399,-1621790.0754859878
237,5672.0,3792.0,5672.0,-1621.7900754859877,9621.790075485987,-1631411.8655614739
238,5696.0,3808.0,5696.0,-1631.4118655614739,9631.411865561473,-1641043.2774270354
239,5720.0,3824.0,5720.0,-1641.0432774270355,9641.043277427036,-1650684.3207044622
240,5744.0,3840.0,5744.0,-1650.6843207044624,9650.68432070446,-1660335.005025167
241,5768.0,3856.0,5768.0,-1660.3350050251668,9660.335005025167,-1669995.340030192
242,5792.0,3872.0,5792.0,-1669.9953400301924,9669.995340030191,-1679665.3353702223
243,5816.0,3888.0,5816.0,-1679.6653353702225,9679.665335370222,-1689345.0007055926
244,5840.0,3904.0,5840.0,-1689.3450007055926,9689.345000705593,-1699034.3457062985
245,5864.0,3920.0,5864.0,-1699.0343457062986,9699.034345706299,-1708733.3800520042
246,5888.0,3936.0,5888.0,-1708.7333800520046,9708.733380052005,-1718442.1134320567
247,5912.0,3952.0,5912.0,-1718.4421134320564,9718.442113432056,-1728160.5555454886
248,5936.0,3968.0,5936.0,-1728.1605555454885,9728.160555545488,-1737888.7161010338
249,5960.0,3984.0,5960.0,-1737.8887161010339,9737.888716101033,-1747626.604817135
250,5984.0,4000.0,5984.0,-1747.6266048171349,9747.626604817136,-1757374.2314219517
251,6008.0,4016.0,6008.0,-1757.3742314219523,9757.374231421954,-1767131.6056533738
252,6032.0,4032.0,6032.0,-1767.131605653374,9767.131605653374,-1776898.737259027
253,6056.0,4048.0,6056.0,-1776.8987372590273,9776.898737259027,-1786675.635996286
254,6080.0,4064.0,6080.0,-1786.675635996286,9786.675635996287,-1796462.3116322828
255,6104.0,4080.0,6104.0,-1796.4623116322823,9796.462311632282,-1806258.7739439146
256,6128.0,4096.0,6128.0,-1806.2587739439148,9806.258773943917,-1816065.032717859
257,6152.0,4112.0,6152.0,-1816.065032717859,9816.06503271786,-1825881.0977505764
258,6176.0,4128.0,6176.0,-1825.8810977505764,9825.881097750576,-1835706.978848327
259,6200.0,4144.0,6200.0,-1835.7069788483273,9835.706978848328,-1845542.6858271754
260,6224.0,4160.0,6224.0,-1845.542685827175,9845.542685827175,-1855388.2285130026
261,6248.0,4176.0,6248.0,-1855.3882285130023,9855.388228513002,-1865243.6167415157
262,6272.0,4192.0,6272.0,-1865.243616741516,9865.243616741516,-1875108.860358257
263,6296.0,4208.0,6296.0,-1875.1088603582573,9875.10886035826,-1884983.9692186157
264,6320.0,4224.0,6320.0,-1884.9839692186158,9884.983969218616,-1894868.9531878342
265,6344.0,4240.0,6344.0,-1894.868953187834,9894.868953187834,-1904763.8221410217
266,6368.0,4256.0,6368.0,-1904.7638221410218,9904.763822141022,-1914668.5859631633
267,6392.0,4272.0,6392.0,-1914.6685859631632,9914.668585963163,-1924583.2545491266
268,6416.0,4288.0,6416.0,-1924.5832545491264,9924.583254549127,-1934507.837803675
269,6440.0,4304.0,6440.0,-1934.5078378036756,9934.507837803676,-1944442.345641479
270,6464.0,4320.0,6464.0,-1944.4423456414788,9944.442345641479,-1954386.7879871204
271,6488.0,4336.0,6488.0,-1954.386787987121,9954.386787987123,-1964341.1747751073
272,6512.0,4352.0,6512.0,-1964.3411747751074,9964.341174775107,-1974305.5159498826
273,6536.0,4368.0,6536.0,-1974.305515949883,9974.305515949884,-1984279.8214658326
274,6560.0,4384.0,6560.0,-1984.2798214658324,9984.279821465832,-1994264.1012872981
275,6584.0,4400.0,6584.0,-1994.2641012872987,9994.2641012873,-2004258.3653885855
276,6608.0,4416.0,6608.0,-2004.2583653885854,10004.258365388583,-2014262.623753974
277,6632.0,4432.0,6632.0,-2014.2626237539737,10014.262623753973,-2024276.8863777278
278,6656.0,4448.0,6656.0,-2024.2768863777276,10024.27688637773,-2034301.1632641053
279,6680.0,4464.0,6680.0,-2034.301163264106,10034.301163264106,-2044335.46442737
280,6704.0,4480.0,6704.0,-2044.3354644273697,10044.33546442737,-2054379.7998917974
281,6728.0,4496.0,6728.0,-2054.3797998917976,10054.3797998918,-2064434.1796916889
282,6752.0,4512.0,6752.0,-2064.4341796916888,10064.434179691687,-2074498.6138713805
283,6776.0,4528.0,6776.0,-2074.4986138713807,10074.498613871381,-2084573.112485252
284,6800.0,4544.0,6800.0,-2084.573112485252,10084.573112485252,-2094657.6855977369
285,6824.0,4560.0,6824.0,-2094.657685597737,10094.657685597735,-2104752.3432833347
286,6848.0,4576.0,6848.0,-2104.752343283335,10104.752343283335,-2114857.0956266182
287,6872.0,4592.0,6872.0,-2114.857095626619,10114.85709562662,-2124971.9527222444
288,6896.0,4608.0,6896.0,-2124.9719527222446,10124.971952722246,-2135096.9246749673
289,6920.0,4624.0,6920.0,-2135.096924674967,10135.096924674966,-2145232.0215996425
290,6944.0,4640.0,6944.0,-2145.2320215996424,10145.232021599642,-2155377.2536212425
291,6968.0,4656.0,6968.0,-2155.377253621242,10155.377253621242,-2165532.6308748634
292,6992.0,4672.0,6992.0,-2165.532630874863,10165.532630874863,-2175698.163505738
293,7016.0,4688.0,7016.0,-2175.698163505738,10175.698163505738,-2185873.861669244
294,7040.0,4704.0,7040.0,-2185.873861669244,10185.873861669244,-2196059.735530913
295,7064.0,4720.0,7064.0,-2196.059735530913,10196.059735530913,-2206255.795266444
296,7088.0,4736.0,7088.0,-2206.2557952664433,10206.255795266443,-2216462.0510617103
297,7112.0,4752.0,7112.0,-2216.46205106171,10216.46205106171,-2226678.5131127723
298,7136.0,4768.0,7136.0,-2226.678513112772,10226.67851311277,-2236905.191625885
299,7160.0,4784.0,7160.0,-2236.9051916258854,10236.905191625885,-2247142.0968175116
300,7184.0,4800.0,7184.0,-2247.142096817511,10247.14209681751,-2257389.238914329
301,7208.0,4816.0,7208.0,-2257.389238914329,10257.38923891433,-2267646.6281532426
302,7232.0,4832.0,7232.0,-2267.646628153243,10267.646628153243,-2277914.274781396
303,7256.0,4848.0,7256.0,-2277.914274781396,10277.914274781397,-2288192.189056177
304,7280.0,4864.0,7280.0,-2288.1921890561775,10288.192189056177,-2298480.3812452336
305,7304.0,4880.0,7304.0,-2298.4803812452337,10298.480381245232,-2308778.8616264793
306,7328.0,4896.0,7328.0,-2308.778861626479,10308.778861626479,-2319087.6404881054
307,7352.0,4912.0,7352.0,-2319.0876404881055,10319.087640488106,-2329406.7281285934
308,7376.0,4928.0,7376.0,-2329.4067281285934,10329.406728128595,-2339736.134856722
309,7400.0,4944.0,7400.0,-2339.7361348567215,10339.736134856721,-2350075.870991579
310,7424.0,4960.0,7424.0,-2350.075870991579,10350.07587099158,-2360425.9468625705
311,7448.0,4976.0,7448.0,-2360.425946862571,10360.42594686257,-2370786.372809433
312,7472.0,4992.0,7472.0,-2370.786372809433,10370.786372809433,-2381157.1591822426
313,7496.0,5008.0,7496.0,-2381.1571591822426,10381.157159182243,-2391538.3163414244
314,7520.0,5024.0,7520.0,-2391.5383163414244,10391.538316341424,-2401929.854657766
315,7544.0,5040.0,7544.0,-2401.929854657766,10401.929854657765,-2412331.7845124234
316,7568.0,5056.0,7568.0,-2412.331784512424,10412.331784512424,-2422744.1162969363
317,7592.0,5072.0,7592.0,-2422.7441162969367,10422.744116296935,-2433166.8604132333
318,7616.0,5088.0,7616.0,-2433.1668604132333,10433.166860413234,-2443600.027273647
319,7640.0,5104.0,7640.0,-2443.600027273646,10443.600027273644,-2454043.6273009204
320,7664.0,5120.0,7664.0,-2454.0436273009204,10454.04362730092,-2464497.670928221
321,7688.0,5136.0,7688.0,-2464.4976709282214,10464.497670928222,-2474962.168599149
322,7712.0,5152.0,7712.0,-2474.962168599149,10474.96216859915,-2485437.130767748
323,7736.0,5168.0,7736.0,-2485.4371307677484,10485.437130767748,-2495922.567898516
324,7760.0,5184.0,7760.0,-2495.9225678985163,10495.922567898517,-2506418.4904664145
325,7784.0,5200.0,7784.0,-2506.4184904664144,10506.418490466414,-2516924.908956881
