t,my_independent_variable,z,y,x,interest,principal,balance,c,b,a
27,54000.0,999000.0,999000.0,12000.0,24988.765734789864,975011.2342651953,24013754.50052425,2000.0,2000.0,2000.0
28,56000.0,999000.0,999000.0,12000.0,24013.754500523944,975986.2454994642,23037768.255025126,2000.0,2000.0,2000.0
29,58000.0,999000.0,999000.0,12000.0,23037.768255024537,976962.2317449872,22060806.023279987,2000.0,2000.0,2000.0
30,60000.0,999000.0,999000.0,12000.0,22060.806023280424,977939.1939767015,21082866.82930329,2000.0,2000.0,2000.0
31,62000.0,999000.0,999000.0,12000.0,21082.866829303366,978917.1331706763,20103949.696132515,2000.0,2000.0,2000.0
32,64000.0,999000.0,999000.0,12000.0,20103.949696132557,979896.0503038504,19124053.645828508,2000.0,2000.0,2000.0
33,66000.0,999000.0,999000.0,12000.0,19124.05364582841,980875.9463541507,18143177.69947447,2000.0,2000.0,2000.0
34,68000.0,999000.0,999000.0,12000.0,18143.177699474385,981856.8223005005,17161320.877173964,2000.0,2000.0,2000.0
35,70000.0,999000.0,999000.0,12000.0,17161.320877174127,982838.6791228472,16178482.198050728,2000.0,2000.0,2000.0
36,72000.0,999000.0,999000.0,12000.0,16178.482198051002,983821.5178019581,15194660.680249324,2000.0,2000.0,2000.0
37,74000.0,999000.0,999000.0,12000.0,15194.660680248951,984805.339319748,14209855.340929667,2000.0,2000.0,2000.0
38,76000.0,999000.0,999000.0,12000.0,14209.855340929196,985790.144659088,13224065.196270237,2000.0,2000.0,2000.0
39,78000.0,999000.0,999000.0,12000.0,13224.065196270583,986775.9348037415,12237289.261466498,2000.0,2000.0,2000.0
40,80000.0,999000.0,999000.0,12000.0,12237.289261466383,987762.7107385489,11249526.550728263,2000.0,2000.0,2000.0
41,82000.0,999000.0,999000.0,12000.0,11249.52655072791,988750.4734492628,10260776.077278718,2000.0,2000.0,2000.0
42,84000.0,999000.0,999000.0,12000.0,10260.776077278924,989739.2239227194,9271036.853356246,2000.0,2000.0,2000.0
43,86000.0,999000.0,999000.0,12000.0,9271.036853356118,990728.9631466598,8280307.890209414,2000.0,2000.0,2000.0
44,88000.0,999000.0,999000.0,12000.0,8280.307890209588,991719.6921097654,7288588.19809955,2000.0,2000.0,2000.0
45,90000.0,999000.0,999000.0,12000.0,7288.588198099864,992711.4118018888,6295876.78629787,2000.0,2000.0,2000.0
46,92000.0,999000.0,999000.0,12000.0,6295.876786297695,993704.1232136835,5302172.6630841615,2000.0,2000.0,2000.0
47,94000.0,999000.0,999000.0,12000.0,5302.172663084094,994697.8273369317,4307474.835747267,2000.0,2000.0,2000.0
48,96000.0,999000.0,999000.0,12000.0,4307.474835747173,995692.5251642319,3311782.310583016,2000.0,2000.0,2000.0
49,98000.0,999000.0,999000.0,12000.0,3311.7823105829802,996688.2176894055,2315094.0928934664,2000.0,2000.0,2000.0
50,100000.0,999000.0,999000.0,12000.0,2315.0940928935493,997684.9059071161,1317409.1869864198,2000.0,2000.0,2000.0
51,102000.0,999000.0,999000.0,12000.0,1317.4091869864228,998682.5908130248,318726.5961734002,2000.0,2000.0,2000.0
52,104000.0,999000.0,999000.0,12000.0,318.7265961734042,999681.2734038162,-680954.677230437,2000.0,2000.0,2000.0
53,106000.0,999000.0,999000.0,12000.0,-680.9546772304169,1000680.9546772552,-1681635.6319076733,2000.0,2000.0,2000.0
54,108000.0,999000.0,999000.0,12000.0,-1681.6356319076826,1001681.6356319224,-2683317.267539582,2000.0,2000.0,2000.0
55,110000.0,999000.0,999000.0,12000.0,-2683.317267539635,1002683.317267546,-3686000.584807146,2000.0,2000.0,2000.0
56,112000.0,999000.0,999000.0,12000.0,-3686.000584807069,1003686.0005848286,-4689686.585391877,2000.0,2000.0,2000.0
57,114000.0,999000.0,999000.0,12000.0,-4689.686585391945,1004689.6865853644,-5694376.271977174,2000.0,2000.0,2000.0
58,116000.0,999000.0,999000.0,12000.0,-5694.376271977411,1005694.3762720027,-6700070.648249242,2000.0,2000.0,2000.0
59,118000.0,999000.0,999000.0,12000.0,-6700.070648249424,1006700.0706482289,-7706770.718897642,2000.0,2000.0,2000.0
60,120000.0,999000.0,999000.0,12000.0,-7706.77071889737,1007706.7707189069,-8714477.489616543,2000.0,2000.0,2000.0
61,122000.0,999000.0,999000.0,12000.0,-8714.477489616269,1008714.4774896087,-9723191.967106108,2000.0,2000.0,2000.0
62,124000.0,999000.0,999000.0,12000.0,-9723.191967106066,1009723.1919671157,-10732915.159072908,2000.0,2000.0,2000.0
63,126000.0,999000.0,999000.0,12000.0,-10732.915159072989,1010732.9151590805,-11743648.074232081,2000.0,2000.0,2000.0
64,128000.0,999000.0,999000.0,12000.0,-11743.648074232467,1011743.6480742199,-12755391.722306577,2000.0,2000.0,2000.0
65,130000.0,999000.0,999000.0,12000.0,-12755.391722306627,1012755.3917223117,-13768147.11402902,2000.0,2000.0,2000.0
66,132000.0,999000.0,999000.0,12000.0,-13768.14711402898,1013768.1471140526,-14781915.261142476,2000.0,2000.0,2000.0
67,134000.0,999000.0,999000.0,12000.0,-14781.915261142787,1014781.9152611544,-15796697.176404182,2000.0,2000.0,2000.0
68,136000.0,999000.0,999000.0,12000.0,-15796.697176403653,1015796.6971764104,-16812493.873579897,2000.0,2000.0,2000.0
69,138000.0,999000.0,999000.0,12000.0,-16812.49387358016,1016812.4938735568,-17829306.3674536,2000.0,2000.0,2000.0
70,140000.0,999000.0,999000.0,12000.0,-17829.306367453763,1017829.3063674415,-18847135.673821073,2000.0,2000.0,2000.0
71,142000.0,999000.0,999000.0,12000.0,-18847.135673821293,1018847.1356738353,-19865982.809495185,2000.0,2000.0,2000.0
72,144000.0,999000.0,999000.0,12000.0,-19865.982809495432,1019865.9828094776,-20885848.792304568,2000.0,2000.0,2000.0
73,146000.0,999000.0,999000.0,12000.0,-20885.848792304852,1020885.8487922926,-21906734.641097218,2000.0,2000.0,2000.0
74,148000.0,999000.0,999000.0,12000.0,-21906.734641096784,1021906.7346410832,-22928641.3757381,2000.0,2000.0,2000.0
75,150000.0,999000.0,999000.0,12000.0,-22928.641375737632,1022928.6413757364,-23951570.0171142,2000.0,2000.0,2000.0
76,152000.0,999000.0,999000.0,12000.0,-23951.570017114074,1023951.5700171242,-24975521.587130684,2000.0,2000.0,2000.0
77,154000.0,999000.0,999000.0,12000.0,-24975.52158713036,1024975.5215871552,-26000497.10871766,2000.0,2000.0,2000.0
78,156000.0,999000.0,999000.0,12000.0,-26000.497108718246,1026000.4971086988,-27026497.605826713,2000.0,2000.0,2000.0
79,158000.0,999000.0,999000.0,12000.0,-27026.497605827055,1027026.4976058371,-28053524.103432838,2000.0,2000.0,2000.0
80,160000.0,999000.0,999000.0,12000.0,-28053.524103433032,1028053.5241034532,-29081577.627535924,2000.0,2000.0,2000.0
81,162000.0,999000.0,999000.0,12000.0,-29081.57762753665,1029081.5776275478,-30110659.205163967,2000.0,2000.0,2000.0
82,164000.0,999000.0,999000.0,12000.0,-30110.659205162916,1030110.6592051459,-31140769.86436912,2000.0,2000.0,2000.0
83,166000.0,999000.0,999000.0,12000.0,-31140.769864367983,1031140.7698643452,-32171910.63423364,2000.0,2000.0,2000.0
84,168000.0,999000.0,999000.0,12000.0,-32171.91063423249,1032171.9106342421,-33204082.54486701,2000.0,2000.0,2000.0
85,170000.0,999000.0,999000.0,12000.0,-33204.082544867495,1033204.0825448857,-34237286.6274119,2000.0,2000.0,2000.0
86,172000.0,999000.0,999000.0,12000.0,-34237.286627412475,1034237.2866274092,-35271523.91403931,2000.0,2000.0,2000.0
87,174000.0,999000.0,999000.0,12000.0,-35271.52391403881,1035271.5239140597,-36306795.43795419,2000.0,2000.0,2000.0
88,176000.0,999000.0,999000.0,12000.0,-36306.79543795385,1036306.7954379423,-37343102.23339169,2000.0,2000.0,2000.0
89,178000.0,999000.0,999000.0,12000.0,-37343.102233392194,1037343.102233375,-38380445.33562583,2000.0,2000.0,2000.0
90,180000.0,999000.0,999000.0,12000.0,-38380.445335624965,1038380.4453356367,-39418825.780960515,2000.0,2000.0,2000.0
91,182000.0,999000.0,999000.0,12000.0,-39418.8257809607,1039418.8257809711,-40458244.60674097,2000.0,2000.0,2000.0
92,184000.0,999000.0,999000.0,12000.0,-40458.24460674266,1040458.2446067366,-41498702.851347804,2000.0,2000.0,2000.0
93,186000.0,999000.0,999000.0,12000.0,-41498.70285134908,1041498.7028513555,-42540201.554200806,2000.0,2000.0,2000.0
94,188000.0,999000.0,999000.0,12000.0,-42540.20155419911,1042540.2015541927,-43582741.75575377,2000.0,2000.0,2000.0
95,190000.0,999000.0,999000.0,12000.0,-43582.74175575412,1043582.7417557589,-44626324.49750882,2000.0,2000.0,2000.0
96,192000.0,999000.0,999000.0,12000.0,-44626.32449751003,1044626.3244975124,-45670950.82200793,2000.0,2000.0,2000.0
97,194000.0,999000.0,999000.0,12000.0,-45670.950822007784,1045670.9508219792,-46716621.77282836,2000.0,2000.0,2000.0
98,196000.0,999000.0,999000.0,12000.0,-46716.62177282981,1046716.6217728449,-47763338.39460251,2000.0,2000.0,2000.0
99,198000.0,999000.0,999000.0,12000.0,-47763.33839460145,1047763.3383945863,-48811101.73299704,2000.0,2000.0,2000.0
100,200000.0,999000.0,999000.0,12000.0,-48811.10173299614,1048811.1017330065,-49859912.83472874,2000.0,2000.0,2000.0
101,202000.0,999000.0,999000.0,12000.0,-49859.9128347291,1049859.9128347181,-50909772.747563645,2000.0,2000.0,2000.0
102,204000.0,999000.0,999000.0,12000.0,-50909.77274756511,1050909.7727475516,-51960682.520312764,2000.0,2000.0,2000.0
103,206000.0,999000.0,999000.0,12000.0,-51960.68252031317,1051960.6825202997,-53012643.20283325,2000.0,2000.0,2000.0
104,208000.0,999000.0,999000.0,12000.0,-53012.64320283318,1053012.643202814,-54065655.846035235,2000.0,2000.0,2000.0
105,210000.0,999000.0,999000.0,12000.0,-54065.655846034104,1054065.655846033,-55119721.50187995,2000.0,2000.0,2000.0
106,212000.0,999000.0,999000.0,12000.0,-55119.721501882006,1055119.7215018603,-56174841.22338198,2000.0,2000.0,2000.0
107,214000.0,999000.0,999000.0,12000.0,-56174.84122338435,1056174.8412233945,-57231016.06460658,2000.0,2000.0,2000.0
108,216000.0,999000.0,999000.0,12000.0,-57231.016064606825,1057231.0160646208,-58288247.08067044,2000.0,2000.0,2000.0
109,218000.0,999000.0,999000.0,12000.0,-58288.24708067209,1058288.2470806595,-59346535.32775284,2000.0,2000.0,2000.0
110,220000.0,999000.0,999000.0,12000.0,-59346.53532775124,1059346.5353277358,-60405881.86307986,2000.0,2000.0,2000.0
111,222000.0,999000.0,999000.0,12000.0,-60405.88186308002,1060405.881863086,-61466287.74494126,2000.0,2000.0,2000.0
112,224000.0,999000.0,999000.0,12000.0,-61466.28774494309,1061466.2877449319,-62527754.03268673,2000.0,2000.0,2000.0
113,226000.0,999000.0,999000.0,12000.0,-62527.75403268645,1062527.754032665,-63590281.78671906,2000.0,2000.0,2000.0
114,228000.0,999000.0,999000.0,12000.0,-63590.281786719,1063590.2817867375,-64653872.068507895,2000.0,2000.0,2000.0
115,230000.0,999000.0,999000.0,12000.0,-64653.87206850609,1064653.872068506,-65718525.9405748,2000.0,2000.0,2000.0
116,232000.0,999000.0,999000.0,12000.0,-65718.52594057455,1065718.525940559,-66784244.46651489,2000.0,2000.0,2000.0
117,234000.0,999000.0,999000.0,12000.0,-66784.24446651514,1066784.2444665444,-67851028.71098325,2000.0,2000.0,2000.0
118,236000.0,999000.0,999000.0,12000.0,-67851.0287109821,1067851.0287109765,-68918879.73969398,2000.0,2000.0,2000.0
119,238000.0,999000.0,999000.0,12000.0,-68918.87973969287,1068918.8797397055,-69987798.6194339,2000.0,2000.0,2000.0
120,240000.0,999000.0,999000.0,12000.0,-69987.79861943329,1069987.7986194307,-71057786.41805185,2000.0,2000.0,2000.0
121,242000.0,999000.0,999000.0,12000.0,-71057.78641805229,1071057.7864180377,-72128844.20447053,2000.0,2000.0,2000.0
122,244000.0,999000.0,999000.0,12000.0,-72128.8442044699,1072128.8442044724,-73200973.04867369,2000.0,2000.0,2000.0
123,246000.0,999000.0,999000.0,12000.0,-73200.97304867521,1073200.9730486819,-74274174.02172247,2000.0,2000.0,2000.0
124,248000.0,999000.0,999000.0,12000.0,-74274.17402172339,1074274.1740217032,-75348448.19574587,2000.0,2000.0,2000.0
125,250000.0,999000.0,999000.0,12000.0,-75348.44819574365,1075348.4481957331,-76423796.6439422,2000.0,2000.0,2000.0
126,252000.0,999000.0,999000.0,12000.0,-76423.79664393996,1076423.7966439615,-77500220.44058305,2000.0,2000.0,2000.0
127,254000.0,999000.0,999000.0,12000.0,-77500.22044058512,1077500.2204405677,-78577720.66102763,2000.0,2000.0,2000.0
128,256000.0,999000.0,999000.0,12000.0,-78577.72066102644,1078577.7206610397,-79656298.38168629,2000.0,2000.0,2000.0
129,258000.0,999000.0,999000.0,12000.0,-79656.2983816853,1079656.298381714,-80735954.68006912,2000.0,2000.0,2000.0
130,260000.0,999000.0,999000.0,12000.0,-80735.95468006811,1080735.9546800423,-81816690.63474818,2000.0,2000.0,2000.0
131,262000.0,999000.0,999000.0,12000.0,-81816.69063474727,1081816.6906347298,-82898507.32538219,2000.0,2000.0,2000.0
132,264000.0,999000.0,999000.0,12000.0,-82898.50732538481,1082898.5073253596,-83981405.83270797,2000.0,2000.0,2000.0
133,266000.0,999000.0,999000.0,12000.0,-83981.40583270822,1083981.4058326979,-85065387.23854168,2000.0,2000.0,2000.0
134,268000.0,999000.0,999000.0,12000.0,-85065.38723854326,1085065.3872385225,-86150452.62578095,2000.0,2000.0,2000.0
135,270000.0,999000.0,999000.0,12000.0,-86150.45262577875,1086150.4526257946,-87236603.07840565,2000.0,2000.0,2000.0
136,272000.0,999000.0,999000.0,12000.0,-87236.60307840437,1087236.6030784254,-88323839.68148561,2000.0,2000.0,2000.0
137,274000.0,999000.0,999000.0,12000.0,-88323.83968148471,1088323.8396814629,-89412163.52116615,2000.0,2000.0,2000.0
138,276000.0,999000.0,999000.0,12000.0,-89412.16352116423,1089412.1635211634,-90501575.684686,2000.0,2000.0,2000.0
139,278000.0,999000.0,999000.0,12000.0,-90501.57568468527,1090501.5756846669,-91592077.26037365,2000.0,2000.0,2000.0
140,280000.0,999000.0,999000.0,12000.0,-91592.07726037131,1091592.0772603713,-92683669.3376306,2000.0,2000.0,2000.0
141,282000.0,999000.0,999000.0,12000.0,-92683.66933763387,1092683.6693376424,-93776353.00696978,2000.0,2000.0,2000.0
142,284000.0,999000.0,999000.0,12000.0,-93776.35300696832,1093776.3530069552,-94870129.35997555,2000.0,2000.0,2000.0
143,286000.0,999000.0,999000.0,12000.0,-94870.12935997455,1094870.1293599906,-95964999.48933712,2000.0,2000.0,2000.0
144,288000.0,999000.0,999000.0,12000.0,-95964.9994893369,1095964.9994893435,-97060964.48882414,2000.0,2000.0,2000.0
145,290000.0,999000.0,999000.0,12000.0,-97060.96448882713,1097060.9644888062,-98158025.45331421,2000.0,2000.0,2000.0
146,292000.0,999000.0,999000.0,12000.0,-98158.0254533146,1098158.0254533272,-99256183.47876862,2000.0,2000.0,2000.0
147,294000.0,999000.0,999000.0,12000.0,-99256.18347876682,1099256.183478754,-100355439.66224764,2000.0,2000.0,2000.0
148,296000.0,999000.0,999000.0,12000.0,-100355.43966224829,1100355.4396622365,-101455795.1019099,2000.0,2000.0,2000.0
149,298000.0,999000.0,999000.0,12000.0,-101455.79510190875,1101455.7951019253,-102557250.89700916,2000.0,2000.0,2000.0
150,300000.0,999000.0,999000.0,12000.0,-102557.25089700834,1102557.250897023,-103659808.14790732,2000.0,2000.0,2000.0
151,302000.0,999000.0,999000.0,12000.0,-103659.80814790611,1103659.808147925,-104763467.95605487,2000.0,2000.0,2000.0
152,304000.0,999000.0,999000.0,12000.0,-104763.467956057,1104763.4679560754,-105868231.42401405,2000.0,2000.0,2000.0
153,306000.0,999000.0,999000.0,12000.0,-105868.23142401318,1105868.231424008,-106974099.65543473,2000.0,2000.0,2000.0
154,308000.0,999000.0,999000.0,12000.0,-106974.09965543528,1106974.099655424,-108081073.7550898,2000.0,2000.0,2000.0
155,310000.0,999000.0,999000.0,12000.0,-108081.07375509253,1108081.0737550778,-109189154.82884644,2000.0,2000.0,2000.0
156,312000.0,999000.0,999000.0,12000.0,-109189.1548288445,1109189.1548288714,-110298343.98367639,2000.0,2000.0,2000.0
157,314000.0,999000.0,999000.0,12000.0,-110298.34398367234,1110298.3439836898,-111408642.32765587,2000.0,2000.0,2000.0
158,316000.0,999000.0,999000.0,12000.0,-111408.64232766008,1111408.6423276477,-112520050.96998782,2000.0,2000.0,2000.0
159,318000.0,999000.0,999000.0,12000.0,-112520.05096998923,1112520.0509699949,-113632571.02095746,2000.0,2000.0,2000.0
160,320000.0,999000.0,999000.0,12000.0,-113632.57102095358,1113632.5710209652,-114746203.59197606,2000.0,2000.0,2000.0
161,322000.0,999000.0,999000.0,12000.0,-114746.20359197533,1114746.2035919633,-115860949.79557064,2000.0,2000.0,2000.0
162,324000.0,999000.0,999000.0,12000.0,-115860.9497955663,1115860.9497955684,-116976810.74536254,2000.0,2000.0,2000.0
163,326000.0,999000.0,999000.0,12000.0,-116976.81074536715,1116976.8107453468,-118093787.55611156,2000.0,2000.0,2000.0
164,328000.0,999000.0,999000.0,12000.0,-118093.7875561077,1118093.7875561304,-119211881.34366378,2000.0,2000.0,2000.0
165,330000.0,999000.0,999000.0,12000.0,-119211.88134366745,1119211.8813436541,-120331093.22501305,2000.0,2000.0,2000.0
166,332000.0,999000.0,999000.0,12000.0,-120331.09322501301,1120331.0932250177,-121451424.318236,2000.0,2000.0,2000.0
167,334000.0,999000.0,999000.0,12000.0,-121451.4243182348,1121451.42431824,-122572875.74255446,2000.0,2000.0,2000.0
168,336000.0,999000.0,999000.0,12000.0,-122572.87574255317,1122572.8757425658,-123695448.61829376,2000.0,2000.0,2000.0
169,338000.0,999000.0,999000.0,12000.0,-123695.4486182951,1123695.448618294,-124819144.06691486,2000.0,2000.0,2000.0
170,340000.0,999000.0,999000.0,12000.0,-124819.14406691508,1124819.1440668954,-125943963.21098207,2000.0,2000.0,2000.0
171,342000.0,999000.0,999000.0,12000.0,-125943.96321098306,1125943.963211004,-127069907.17418884,2000.0,2000.0,2000.0
172,344000.0,999000.0,999000.0,12000.0,-127069.90717419473,1127069.9071742073,-128196977.08136944,2000.0,2000.0,2000.0
173,346000.0,999000.0,999000.0,12000.0,-128196.97708136307,1128196.977081368,-129325174.0584493,2000.0,2000.0,2000.0
174,348000.0,999000.0,999000.0,12000.0,-129325.17405844985,1129325.174058448,-130454499.23250389,2000.0,2000.0,2000.0
175,350000.0,999000.0,999000.0,12000.0,-130454.49923250724,1130454.4992324964,-131584953.73174173,2000.0,2000.0,2000.0
176,352000.0,999000.0,999000.0,12000.0,-131584.95373174013,1131584.9537317322,-132716538.68547077,2000.0,2000.0,2000.0
177,354000.0,999000.0,999000.0,12000.0,-132716.53868547227,1132716.5386854762,-133849255.22415414,2000.0,2000.0,2000.0
178,356000.0,999000.0,999000.0,12000.0,-133849.25522415445,1133849.255224142,-134983104.4793762,2000.0,2000.0,2000.0
179,358000.0,999000.0,999000.0,12000.0,-134983.1044793819,1134983.1044793737,-136118087.5838578,2000.0,2000.0,2000.0
180,360000.0,999000.0,999000.0,12000.0,-136118.08758386108,1136118.0875838394,-137254205.671444,2000.0,2000.0,2000.0
181,362000.0,999000.0,999000.0,12000.0,-137254.20567144378,1137254.205671454,-138391459.8771153,2000.0,2000.0,2000.0
182,364000.0,999000.0,999000.0,12000.0,-138391.4598771114,1138391.4598771308,-139529851.3369892,2000.0,2000.0,2000.0
183,366000.0,999000.0,999000.0,12000.0,-139529.85133699252,1139529.8513369702,-140669381.18833032,2000.0,2000.0,2000.0
184,368000.0,999000.0,999000.0,12000.0,-140669.38118832896,1140669.3811883307,-141810050.5695179,2000.0,2000.0,2000.0
185,370000.0,999000.0,999000.0,12000.0,-141810.05056951707,1141810.0505694964,-142951860.62008423,2000.0,2000.0,2000.0
186,372000.0,999000.0,999000.0,12000.0,-142951.8606200872,1142951.8606200744,-144094812.48070487,2000.0,2000.0,2000.0
187,374000.0,999000.0,999000.0,12000.0,-144094.81248070448,1144094.812480726,-145238907.29318693,2000.0,2000.0,2000.0
188,376000.0,999000.0,999000.0,12000.0,-145238.90729318454,1145238.907293184,-146384146.20047876,2000.0,2000.0,2000.0
189,378000.0,999000.0,999000.0,12000.0,-146384.14620048058,1146384.1462004913,-147530530.34668064,2000.0,2000.0,2000.0
190,380000.0,999000.0,999000.0,12000.0,-147530.53034667714,1147530.5303466844,-148678060.8770258,2000.0,2000.0,2000.0
191,382000.0,999000.0,999000.0,12000.0,-148678.06087702367,1148678.0608770312,-149826738.93790373,2000.0,2000.0,2000.0
192,384000.0,999000.0,999000.0,12000.0,-149826.7389379036,1149826.7389379046,-150976565.6768407,2000.0,2000.0,2000.0
193,386000.0,999000.0,999000.0,12000.0,-150976.56567684122,1150976.5656768424,-152127542.24251714,2000.0,2000.0,2000.0
194,388000.0,999000.0,999000.0,12000.0,-152127.5422425217,1152127.5422425135,-153279669.78475776,2000.0,2000.0,2000.0
195,390000.0,999000.0,999000.0,12000.0,-153279.66978476377,1153279.669784734,-154432949.45454603,2000.0,2000.0,2000.0
196,392000.0,999000.0,999000.0,12000.0,-154432.9494545498,1154432.94945453,-155587382.40399978,2000.0,2000.0,2000.0
197,394000.0,999000.0,999000.0,12000.0,-155587.38240400024,1155587.3824040014,-156742969.78640553,2000.0,2000.0,2000.0
198,396000.0,999000.0,999000.0,12000.0,-156742.96978640195,1156742.9697864105,-157899712.75618926,2000.0,2000.0,2000.0
199,398000.0,999000.0,999000.0,12000.0,-157899.71275618955,1157899.7127561907,-159057612.46894783,2000.0,2000.0,2000.0
200,400000.0,999000.0,999000.0,12000.0,-159057.61246895132,1159057.6124689537,-160216670.08141682,2000.0,2000.0,2000.0
201,402000.0,999000.0,999000.0,12000.0,-160216.67008141722,1160216.6700814047,-161376886.75150037,2000.0,2000.0,2000.0
202,404000.0,999000.0,999000.0,12000.0,-161376.88675150048,1161376.8867515023,-162538263.6382487,2000.0,2000.0,2000.0
203,406000.0,999000.0,999000.0,12000.0,-162538.26363825076,1162538.2636382657,-163700801.90188685,2000.0,2000.0,2000.0
204,408000.0,999000.0,999000.0,12000.0,-163700.80190188834,1163700.8019018853,-164864502.7037882,2000.0,2000.0,2000.0
205,410000.0,999000.0,999000.0,12000.0,-164864.50270379073,1164864.5027037764,-166029367.20649368,2000.0,2000.0,2000.0
206,412000.0,999000.0,999000.0,12000.0,-166029.3672064931,1166029.3672064887,-167195396.57370153,2000.0,2000.0,2000.0
207,414000.0,999000.0,999000.0,12000.0,-167195.39657369937,1167195.3965737235,-168362591.970274,2000.0,2000.0,2000.0
208,416000.0,999000.0,999000.0,12000.0,-168362.5919702752,1168362.5919702528,-169530954.5622462,2000.0,2000.0,2000.0
209,418000.0,999000.0,999000.0,12000.0,-169530.95456224403,1169530.954562232,-170700485.516807,2000.0,2000.0,2000.0
210,420000.0,999000.0,999000.0,12000.0,-170700.48551680535,1170700.4855168054,-171871186.002323,2000.0,2000.0,2000.0
211,422000.0,999000.0,999000.0,12000.0,-171871.18600232375,1171871.186002311,-173043057.18832922,2000.0,2000.0,2000.0
212,424000.0,999000.0,999000.0,12000.0,-173043.05718832515,1173043.0571883125,-174216100.2455142,2000.0,2000.0,2000.0
213,426000.0,999000.0,999000.0,12000.0,-174216.10024551116,1174216.100245501,-175390316.34575987,2000.0,2000.0,2000.0
214,428000.0,999000.0,999000.0,12000.0,-175390.31634575818,1175390.3163457485,-176565706.6621073,2000.0,2000.0,2000.0
215,430000.0,999000.0,999000.0,12000.0,-176565.70666210595,1176565.7066621156,-177742272.3687674,2000.0,2000.0,2000.0
216,432000.0,999000.0,999000.0,12000.0,-177742.27236876907,1177742.2723687666,-178920014.64113596,2000.0,2000.0,2000.0
217,434000.0,999000.0,999000.0,12000.0,-178920.0146411334,1178920.0146411445,-180098934.6557771,2000.0,2000.0,2000.0
218,436000.0,999000.0,999000.0,12000.0,-180098.9346557763,1180098.9346557765,-181279033.59043533,2000.0,2000.0,2000.0
219,438000.0,999000.0,999000.0,12000.0,-181279.0335904304,1181279.033590438,-182460312.62402645,2000.0,2000.0,2000.0
220,440000.0,999000.0,999000.0,12000.0,-182460.31262402487,1182460.3126240028,-183642772.93664438,2000.0,2000.0,2000.0
